"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente (Pessoas)"
"Nível";"Cód.";"Município";"Situação do domicílio";"Ano x Sexo"
"Nível";"Cód.";"Município";"Situação do domicílio";"2000"
"Nível";"Cód.";"Município";"Situação do domicílio";"Total";"Homens";"Mulheres"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Total";"26533";"13924";"12609"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Urbana";"12341";"6142";"6199"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Rural";"14192";"7782";"6410"
"MU";"1100023";"Ariquemes (RO)";"Total";"74503";"37995";"36508"
"MU";"1100023";"Ariquemes (RO)";"Urbana";"55118";"27518";"27600"
"MU";"1100023";"Ariquemes (RO)";"Rural";"19385";"10477";"8908"
"MU";"1100031";"Cabixi (RO)";"Total";"7518";"3962";"3556"
"MU";"1100031";"Cabixi (RO)";"Urbana";"2672";"1346";"1326"
"MU";"1100031";"Cabixi (RO)";"Rural";"4846";"2616";"2230"
"MU";"1100049";"Cacoal (RO)";"Total";"73568";"37218";"36350"
"MU";"1100049";"Cacoal (RO)";"Urbana";"51398";"25303";"26095"
"MU";"1100049";"Cacoal (RO)";"Rural";"22170";"11915";"10255"
"MU";"1100056";"Cerejeiras (RO)";"Total";"18207";"9317";"8890"
"MU";"1100056";"Cerejeiras (RO)";"Urbana";"14846";"7514";"7332"
"MU";"1100056";"Cerejeiras (RO)";"Rural";"3361";"1803";"1558"
"MU";"1100064";"Colorado do Oeste (RO)";"Total";"21892";"11140";"10752"
"MU";"1100064";"Colorado do Oeste (RO)";"Urbana";"14576";"7250";"7326"
"MU";"1100064";"Colorado do Oeste (RO)";"Rural";"7316";"3890";"3426"
"MU";"1100072";"Corumbiara (RO)";"Total";"10459";"5649";"4810"
"MU";"1100072";"Corumbiara (RO)";"Urbana";"2073";"1079";"994"
"MU";"1100072";"Corumbiara (RO)";"Rural";"8386";"4570";"3816"
"MU";"1100080";"Costa Marques (RO)";"Total";"10208";"5456";"4752"
"MU";"1100080";"Costa Marques (RO)";"Urbana";"6758";"3499";"3259"
"MU";"1100080";"Costa Marques (RO)";"Rural";"3450";"1957";"1493"
"MU";"1100098";"Espigão D'Oeste (RO)";"Total";"25688";"13290";"12398"
"MU";"1100098";"Espigão D'Oeste (RO)";"Urbana";"14262";"7084";"7178"
"MU";"1100098";"Espigão D'Oeste (RO)";"Rural";"11426";"6206";"5220"
"MU";"1100106";"Guajará-Mirim (RO)";"Total";"38045";"19067";"18978"
"MU";"1100106";"Guajará-Mirim (RO)";"Urbana";"33035";"16284";"16751"
"MU";"1100106";"Guajará-Mirim (RO)";"Rural";"5010";"2783";"2227"
"MU";"1100114";"Jaru (RO)";"Total";"53600";"27446";"26154"
"MU";"1100114";"Jaru (RO)";"Urbana";"29577";"14640";"14937"
"MU";"1100114";"Jaru (RO)";"Rural";"24023";"12806";"11217"
"MU";"1100122";"Ji-Paraná (RO)";"Total";"106800";"53251";"53549"
"MU";"1100122";"Ji-Paraná (RO)";"Urbana";"91013";"44879";"46134"
"MU";"1100122";"Ji-Paraná (RO)";"Rural";"15787";"8372";"7415"
"MU";"1100130";"Machadinho D'Oeste (RO)";"Total";"22739";"12300";"10439"
"MU";"1100130";"Machadinho D'Oeste (RO)";"Urbana";"10981";"5695";"5286"
"MU";"1100130";"Machadinho D'Oeste (RO)";"Rural";"11758";"6605";"5153"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"17067";"9081";"7986"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Urbana";"6424";"3265";"3159"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Rural";"10643";"5816";"4827"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Total";"40884";"20725";"20159"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Urbana";"26541";"13008";"13533"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Rural";"14343";"7717";"6626"
"MU";"1100189";"Pimenta Bueno (RO)";"Total";"31752";"16086";"15666"
"MU";"1100189";"Pimenta Bueno (RO)";"Urbana";"26423";"13123";"13300"
"MU";"1100189";"Pimenta Bueno (RO)";"Rural";"5329";"2963";"2366"
"MU";"1100205";"Porto Velho (RO)";"Total";"334661";"166737";"167924"
"MU";"1100205";"Porto Velho (RO)";"Urbana";"273709";"134647";"139062"
"MU";"1100205";"Porto Velho (RO)";"Rural";"60952";"32090";"28862"
"MU";"1100254";"Presidente Médici (RO)";"Total";"26365";"13609";"12756"
"MU";"1100254";"Presidente Médici (RO)";"Urbana";"12174";"6012";"6162"
"MU";"1100254";"Presidente Médici (RO)";"Rural";"14191";"7597";"6594"
"MU";"1100262";"Rio Crespo (RO)";"Total";"2937";"1599";"1338"
"MU";"1100262";"Rio Crespo (RO)";"Urbana";"867";"457";"410"
"MU";"1100262";"Rio Crespo (RO)";"Rural";"2070";"1142";"928"
"MU";"1100288";"Rolim de Moura (RO)";"Total";"47382";"23987";"23395"
"MU";"1100288";"Rolim de Moura (RO)";"Urbana";"34421";"17109";"17312"
"MU";"1100288";"Rolim de Moura (RO)";"Rural";"12961";"6878";"6083"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Total";"11603";"6090";"5513"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Urbana";"4887";"2469";"2418"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Rural";"6716";"3621";"3095"
"MU";"1100304";"Vilhena (RO)";"Total";"53598";"26712";"26886"
"MU";"1100304";"Vilhena (RO)";"Urbana";"50601";"25015";"25586"
"MU";"1100304";"Vilhena (RO)";"Rural";"2997";"1697";"1300"
"MU";"1100320";"São Miguel do Guaporé (RO)";"Total";"23874";"12659";"11215"
"MU";"1100320";"São Miguel do Guaporé (RO)";"Urbana";"6476";"3259";"3217"
"MU";"1100320";"São Miguel do Guaporé (RO)";"Rural";"17398";"9400";"7998"
"MU";"1100338";"Nova Mamoré (RO)";"Total";"14778";"7871";"6907"
"MU";"1100338";"Nova Mamoré (RO)";"Urbana";"7247";"3757";"3490"
"MU";"1100338";"Nova Mamoré (RO)";"Rural";"7531";"4114";"3417"
"MU";"1100346";"Alvorada D'Oeste (RO)";"Total";"19832";"10407";"9425"
"MU";"1100346";"Alvorada D'Oeste (RO)";"Urbana";"8546";"4223";"4323"
"MU";"1100346";"Alvorada D'Oeste (RO)";"Rural";"11286";"6184";"5102"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"Total";"12708";"6883";"5825"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"Urbana";"2449";"1264";"1185"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"Rural";"10259";"5619";"4640"
"MU";"1100403";"Alto Paraíso (RO)";"Total";"13118";"7141";"5977"
"MU";"1100403";"Alto Paraíso (RO)";"Urbana";"4036";"2087";"1949"
"MU";"1100403";"Alto Paraíso (RO)";"Rural";"9082";"5054";"4028"
"MU";"1100452";"Buritis (RO)";"Total";"25668";"13781";"11887"
"MU";"1100452";"Buritis (RO)";"Urbana";"15334";"8072";"7262"
"MU";"1100452";"Buritis (RO)";"Rural";"10334";"5709";"4625"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"Total";"12276";"6507";"5769"
