Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2010,1ac000000,5997406.270,6417,528,934.610,33.194,141,28.609,224,47.961,0.238,0.255,0.076,0.118,0.319
2010,1ac000001,608120.710,546,19,1113.770,35.984,13,2.425,49,23.050,0.171,0.200,0.060,0.068,0.288
2010,1ac000002,746862.570,777,6,961.210,33.512,5,1.081,42,8.683,0.054,0.267,0.042,0.125,0.256
2010,1ac000003,405505.860,443,4,915.360,36.014,3,1.106,27,7.415,0.065,0.384,-0.055,0.218,0.206
2010,1ac000004,654110.310,688,8,950.740,35.078,6,1.321,27,7.317,0.241,0.320,0.041,0.189,0.229
2010,1ac000100,1493351.470,1432,92,1042.840,36.381,43,4.375,81,16.564,0.107,0.213,0.030,0.075,0.284
2010,1ac000101,340573.020,462,5,737.170,35.870,4,1.142,31,12.195,0.706,2.410,0.991,1.970,0.235
2010,1ac000102,1516463.520,1406,165,1078.570,36.134,60,9.699,82,21.168,2.309,0.151,1.417,0.029,0.354
2010,1ac010000,372841.400,331,20,1126.410,36.728,14,3.335,45,19.411,0.165,0.226,0.038,0.117,0.288
2010,1ac010001,1113176.430,1345,131,827.640,34.091,53,11.647,102,32.844,0.238,0.262,0.167,0.119,0.244
2010,1ac010002,993425.880,1121,99,886.200,32.805,49,9.046,90,31.833,0.413,0.181,0.281,0.062,0.268
2010,1ac010003,914304.940,988,72,925.410,36.620,34,9.263,94,35.466,0.260,0.375,0.104,0.216,0.290
2010,1ac010100,814902.100,813,80,1002.340,33.908,31,11.248,74,27.386,0.314,0.215,0.180,0.089,0.326
2010,1ac010101,545719.790,670,60,814.510,36.145,16,5.050,46,18.302,0.278,0.178,0.161,0.087,0.271
2010,1ac010102,661409.450,698,42,947.580,35.322,23,5.434,80,26.597,0.156,0.244,0.078,0.122,0.260
2010,1ac010103,916795.510,910,98,1007.470,35.954,36,5.246,71,21.738,0.162,0.215,0.053,0.074,0.298
2010,1ac010104,692072.180,665,55,1040.710,35.316,23,4.899,53,16.224,0.085,0.335,-0.003,0.179,0.320
2010,1ac010105,171376225.570,96778,3708,1770.820,37.145,345,26.340,455,59.355,0.269,0.185,0.143,0.078,0.462
2010,1ac010106,1924174.250,2270,159,847.650,35.209,58,9.230,127,31.142,0.120,0.223,0.023,0.111,0.278
2010,1ac010200,690292.860,585,13,1179.990,35.624,12,1.448,45,14.366,0.100,0.400,-0.011,0.269,0.364
2010,1ac010201,257490.550,206,6,1249.950,34.641,5,1.186,22,11.802,0.152,2.282,0.020,1.527,0.356
2010,1ac010202,1936539.430,1636,174,1183.700,35.484,57,9.459,102,29.576,0.150,0.242,0.090,0.076,0.391
2010,1am000000,436381.010,513,4,850.650,36.164,3,1.112,39,11.692,0.320,1.082,0.094,1.147,0.364
2010,1am000001,587313.640,588,4,998.830,38.163,3,1.135,43,12.422,0.152,1.012,0.003,1.102,0.328
2010,1am000002,29323.190,16,4,1832.700,39.750,4,2.811,9,6.842,-0.128,0.233,-0.448,0.078,0.268
2010,1am000003,560202.320,747,4,749.940,39.989,3,1.072,48,8.822,0.237,0.167,0.063,0.026,0.222
2010,1am000004,21052829.360,6176,139,3408.810,38.521,59,6.268,186,51.939,0.137,0.196,0.056,0.149,0.674
2010,1am000005,897476.720,1081,12,830.230,38.141,9,1.295,57,15.206,0.091,0.255,0.068,0.155,0.276
2010,1am000100,9655081.820,8640,357,1117.490,36.926,112,10.364,246,43.292,0.339,0.158,0.138,0.046,0.379
2010,1am000101,1373166.060,905,11,1517.310,36.846,10,2.700,94,27.411,1.845,0.545,0.695,0.203,0.519
2010,1am000102,739380.980,1012,21,730.610,38.475,15,1.646,56,11.764,0.121,0.173,0.059,0.071,0.149
2010,1am000103,473468.210,559,13,846.990,38.894,12,1.740,43,8.975,0.120,0.682,0.121,0.555,0.286
2010,1am000104,572333.790,625,8,915.730,41.859,5,1.231,42,12.699,0.025,0.219,-0.017,0.066,0.271
2010,1am000200,562720.940,506,25,1112.100,40.947,18,3.079,56,16.362,0.660,0.314,0.249,0.068,0.418
2010,1am000201,1333841.010,1336,29,998.380,36.341,21,1.798,75,17.122,0.325,0.169,0.228,0.035,0.285
2010,1am000202,780795.160,887,6,880.270,38.100,5,1.162,26,3.311,0.003,1.032,0.025,1.078,0.271
2010,1am000203,2791932.300,3759,122,742.730,36.671,67,6.149,158,29.963,0.423,0.244,0.406,0.161,0.224
2010,1am000204,4937847.370,5094,282,969.350,34.552,94,10.267,175,33.903,0.463,0.259,0.397,0.179,0.363
2010,1am000205,402447.880,413,9,974.450,38.966,8,1.395,62,22.368,-0.022,0.116,-0.150,-0.001,0.350
2010,1am000206,816939730.410,492429,14348,1659.000,35.748,525,78.998,552,93.528,0.196,0.140,0.106,0.063,0.456
2010,1am000300,903466.900,993,21,909.840,38.781,15,1.466,51,11.060,0.315,0.233,0.184,0.088,0.293
2010,1am000301,346051.710,457,14,757.230,39.208,10,1.579,25,3.628,0.295,0.395,0.242,0.250,0.200
2010,1am000302,1965844.880,2312,102,850.280,38.665,56,3.303,108,20.818,0.169,0.138,-0.065,0.042,0.276
2010,1am000303,776677.150,829,14,936.880,37.463,12,1.458,64,13.668,0.075,0.180,0.038,0.037,0.294
2010,1am000304,6242732.180,6773,345,921.710,37.222,91,5.618,181,26.066,0.190,0.266,0.075,0.105,0.344
2010,1am000305,354691.260,417,12,850.580,36.396,8,1.727,39,13.508,0.050,0.319,0.038,0.175,0.253
2010,1am000306,748401.690,785,18,953.380,40.617,15,1.641,57,18.622,0.234,0.101,0.025,-0.032,0.219
2010,1am000400,7217564.130,4640,118,1555.510,36.520,62,7.344,223,56.475,0.218,0.143,0.054,0.036,0.452
2010,1am000401,1699571.210,2121,100,801.310,35.629,47,5.209,134,25.082,0.613,0.295,0.596,0.157,0.249
2010,1am000500,450193.660,486,8,926.320,37.095,6,1.323,48,15.842,0.787,0.958,0.371,0.954,0.237
2010,1am000501,3136905.810,3100,210,1011.910,34.376,76,10.957,170,40.583,0.418,0.334,0.221,0.219,0.385
2010,1am000502,72482.190,71,8,1020.880,35.634,6,2.627,17,9.317,1.553,0.459,2.087,0.480,0.346
2010,1am010000,273862.690,409,9,669.590,38.171,5,1.276,8,1.303,-0.078,0.080,-0.055,0.014,0.484
2010,1am010001,424518.270,457,7,928.920,37.711,5,1.216,31,7.704,-0.001,0.995,-0.116,0.905,0.269
2010,1am010100,552455.650,684,13,807.680,38.439,11,1.339,45,13.211,0.487,0.304,0.153,0.280,0.240
2010,1am010101,517195.780,575,26,899.470,37.715,18,3.049,82,26.402,-0.022,0.467,-0.038,0.419,0.302
2010,1am010102,197237.790,201,9,981.280,41.284,7,1.938,29,9.298,0.183,0.145,-0.010,-0.005,0.318
2010,1am010103,2482323.640,2476,103,1002.550,35.683,43,3.571,119,15.596,0.044,0.226,0.012,0.139,0.323
2010,1am020000,369902.470,371,5,997.040,38.070,4,1.161,29,9.030,0.157,0.266,0.024,0.106,0.378
2010,1am020001,868052.090,964,9,900.470,36.704,6,1.690,61,19.803,0.207,0.485,0.173,0.564,0.352
2010,1am020002,1208227.060,1303,29,927.270,37.721,20,1.710,74,20.226,0.312,0.168,0.240,0.099,0.274
2010,1am020003,690049.030,875,6,788.630,39.283,6,1.155,54,13.564,16.968,0.302,38.682,0.174,0.245
2010,1am020004,42831.460,35,4,1223.760,32.829,4,2.548,13,10.767,0.114,0.331,-0.125,0.260,0.418
2010,1am020005,702100.660,781,15,898.980,38.096,12,1.584,52,15.582,0.551,0.200,0.334,0.059,0.267
2010,1am020006,226338.780,233,9,971.410,37.738,8,1.674,34,14.389,1.488,0.558,4.548,0.589,0.330
2010,1am020007,1647306.480,1799,150,915.680,37.049,62,11.615,95,24.472,0.003,0.277,-0.036,0.206,0.373
2010,1am020008,145879.910,184,8,792.830,41.549,7,1.655,22,7.893,3.242,0.718,5.345,0.829,0.231
2010,1am020100,997145.960,981,20,1016.460,40.650,14,1.688,49,9.720,0.243,0.191,0.102,0.047,0.306
