Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini,Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2014,1ac000000,10643231.990,8154,745,1305.280,33.953,169,35.497,246,50.039,1.197,0.012,0.368,0.005,,2014,1ac000000,10643231.990,8154,745,1305.280,33.953,169,35.497,246,50.039,1.197,0.012,0.368,0.005,
2014,1ac000001,1411346.090,908,44,1554.350,35.917,27,3.596,76,24.542,1.717,0.021,0.747,0.008,,2014,1ac000001,1411346.090,908,44,1554.350,35.917,27,3.596,76,24.542,1.717,0.021,0.747,0.008,
2014,1ac000002,1134941.270,934,12,1215.140,34.989,8,1.205,42,9.243,0.602,0.029,0.243,0.023,,2014,1ac000002,1134941.270,934,12,1215.140,34.989,8,1.205,42,9.243,0.602,0.029,0.243,0.023,
2014,1ac000003,528501.410,446,12,1184.980,38.863,9,1.334,54,11.825,0.389,0.009,-0.049,0.012,,2014,1ac000003,528501.410,446,12,1184.980,38.863,9,1.334,54,11.825,0.389,0.009,-0.049,0.012,
2014,1ac000004,1086224.590,732,12,1483.910,38.120,9,1.244,31,8.107,1.060,0.049,0.107,0.012,,2014,1ac000004,1086224.590,732,12,1483.910,38.120,9,1.244,31,8.107,1.060,0.049,0.107,0.012,
2014,1ac000100,1980070.760,1423,161,1391.480,37.667,58,8.967,106,30.082,0.468,-0.022,0.039,-0.019,,2014,1ac000100,1980070.760,1423,161,1391.480,37.667,58,8.967,106,30.082,0.468,-0.022,0.039,-0.019,
2014,1ac000101,441219.500,376,10,1173.460,40.261,8,1.345,10,2.283,1.211,0.002,0.599,0.019,,2014,1ac000101,441219.500,376,10,1173.460,40.261,8,1.345,10,2.283,1.211,0.002,0.599,0.019,
2014,1ac000102,2574561.970,1772,257,1452.910,36.058,70,14.882,110,28.003,4.617,0.031,2.050,0.013,,2014,1ac000102,2574561.970,1772,257,1452.910,36.058,70,14.882,110,28.003,4.617,0.031,2.050,0.013,
2014,1ac010000,643755.020,342,37,1882.330,37.851,21,4.681,41,16.713,1.012,0.322,0.075,0.239,,2014,1ac010000,643755.020,342,37,1882.330,37.851,21,4.681,41,16.713,1.012,0.322,0.075,0.239,
2014,1ac010001,2114878.190,1710,206,1236.770,34.568,77,17.041,121,41.022,1.353,0.016,0.480,0.004,,2014,1ac010001,2114878.190,1710,206,1236.770,34.568,77,17.041,121,41.022,1.353,0.016,0.480,0.004,
2014,1ac010002,1642068.700,1314,141,1249.670,33.735,59,13.913,109,32.515,1.335,0.020,0.502,0.009,,2014,1ac010002,1642068.700,1314,141,1249.670,33.735,59,13.913,109,32.515,1.335,0.020,0.502,0.009,
2014,1ac010003,1147352.300,829,97,1384.020,37.376,36,9.115,94,44.421,0.582,0.008,-0.077,-0.009,,2014,1ac010003,1147352.300,829,97,1384.020,37.376,36,9.115,94,44.421,0.582,0.008,-0.077,-0.009,
2014,1ac010100,1371383.260,909,105,1508.670,34.897,38,10.373,92,31.569,1.211,0.027,0.316,0.015,,2014,1ac010100,1371383.260,909,105,1508.670,34.897,38,10.373,92,31.569,1.211,0.027,0.316,0.015,
2014,1ac010101,1439895.740,1152,64,1249.910,36.083,19,4.140,47,15.046,2.371,0.051,0.997,0.033,,2014,1ac010101,1439895.740,1152,64,1249.910,36.083,19,4.140,47,15.046,2.371,0.051,0.997,0.033,
2014,1ac010102,950974.060,640,49,1485.900,37.345,25,5.293,78,27.684,0.663,0.013,-0.011,0.006,,2014,1ac010102,950974.060,640,49,1485.900,37.345,25,5.293,78,27.684,0.663,0.013,-0.011,0.006,
2014,1ac010103,1744264.790,1343,136,1298.780,37.096,42,9.148,100,29.168,1.210,-0.009,0.557,-0.016,,2014,1ac010103,1744264.790,1343,136,1298.780,37.096,42,9.148,100,29.168,1.210,-0.009,0.557,-0.016,
2014,1ac010104,1549060.670,1050,97,1475.300,35.812,32,6.341,89,30.003,1.429,0.055,0.548,0.052,,2014,1ac010104,1549060.670,1050,97,1475.300,35.812,32,6.341,89,30.003,1.429,0.055,0.548,0.052,
2014,1ac010105,261563324.960,104457,4704,2504.030,37.811,368,36.910,478,71.287,0.937,0.028,0.244,0.005,,2014,1ac010105,261563324.960,104457,4704,2504.030,37.811,368,36.910,478,71.287,0.937,0.028,0.244,0.005,
2014,1ac010106,2817801.030,1956,163,1440.590,36.797,66,11.773,132,40.616,0.641,0.032,-0.119,0.016,,2014,1ac010106,2817801.030,1956,163,1440.590,36.797,66,11.773,132,40.616,0.641,0.032,-0.119,0.016,
2014,1ac010200,682761.430,424,23,1610.290,37.741,16,1.869,35,8.114,0.088,-0.013,-0.225,-0.025,,2014,1ac010200,682761.430,424,23,1610.290,37.741,16,1.869,35,8.114,0.088,-0.013,-0.225,-0.025,
2014,1ac010201,319931.730,206,8,1553.070,38.053,7,1.402,24,12.879,0.432,-0.002,0.020,-0.002,,2014,1ac010201,319931.730,206,8,1553.070,38.053,7,1.402,24,12.879,0.432,-0.002,0.020,-0.002,
2014,1ac010202,2993280.860,2084,248,1436.320,35.581,86,15.808,128,33.840,0.778,0.003,0.392,-0.011,,2014,1ac010202,2993280.860,2084,248,1436.320,35.581,86,15.808,128,33.840,0.778,0.003,0.392,-0.011,
2014,1am000000,452518.110,396,5,1142.720,39.634,4,1.235,38,14.219,0.369,0.030,-0.074,0.022,,2014,1am000000,452518.110,396,5,1142.720,39.634,4,1.235,38,14.219,0.369,0.030,-0.074,0.022,
2014,1am000001,860115.190,614,7,1400.840,40.718,5,1.191,47,14.995,0.688,0.000,0.065,-0.001,,2014,1am000001,860115.190,614,7,1400.840,40.718,5,1.191,47,14.995,0.688,0.000,0.065,-0.001,
2014,1am000002,71991.720,28,7,2571.130,37.143,7,5.294,14,11.198,1.141,-0.250,-0.034,-0.338,,2014,1am000002,71991.720,28,7,2571.130,37.143,7,5.294,14,11.198,1.141,-0.250,-0.034,-0.338,
2014,1am000003,884603.280,883,7,1001.820,39.904,6,1.138,68,11.399,0.954,0.017,0.274,0.000,,2014,1am000003,884603.280,883,7,1001.820,39.904,6,1.138,68,11.399,0.954,0.017,0.274,0.000,
2014,1am000004,17946994.340,6117,146,2933.950,39.777,69,4.134,172,35.432,-0.030,0.024,0.038,0.048,,2014,1am000004,17946994.340,6117,146,2933.950,39.777,69,4.134,172,35.432,-0.030,0.024,0.038,0.048,
2014,1am000005,1127529.850,882,11,1278.380,41.833,9,1.344,52,18.424,0.371,0.090,-0.135,0.048,,2014,1am000005,1127529.850,882,11,1278.380,41.833,9,1.344,52,18.424,0.371,0.090,-0.135,0.048,
2014,1am000100,12305633.510,8919,531,1379.710,37.852,146,18.059,251,44.917,0.707,-0.046,0.184,-0.026,,2014,1am000100,12305633.510,8919,531,1379.710,37.852,146,18.059,251,44.917,0.707,-0.046,0.184,-0.026,
2014,1am000101,362951.040,293,14,1238.740,41.754,10,2.152,45,14.574,-0.248,-0.006,-0.446,-0.034,,2014,1am000101,362951.040,293,14,1238.740,41.754,10,2.152,45,14.574,-0.248,-0.006,-0.446,-0.034,
2014,1am000102,1085996.660,972,40,1117.280,40.705,20,2.990,71,26.181,0.647,0.104,0.012,0.095,,2014,1am000102,1085996.660,972,40,1117.280,40.705,20,2.990,71,26.181,0.647,0.104,0.012,0.095,
2014,1am000103,613173.360,477,7,1285.480,42.021,6,1.387,35,7.899,0.451,-0.010,-0.036,-0.007,,2014,1am000103,613173.360,477,7,1285.480,42.021,6,1.387,35,7.899,0.451,-0.010,-0.036,-0.007,
2014,1am000104,885267.280,611,17,1448.880,42.519,9,1.445,65,19.251,0.586,0.005,-0.037,-0.001,,2014,1am000104,885267.280,611,17,1448.880,42.519,9,1.445,65,19.251,0.586,0.005,-0.037,-0.001,
2014,1am000200,1501573.540,1108,63,1355.210,41.100,30,3.637,84,20.365,3.429,0.025,1.736,0.006,,2014,1am000200,1501573.540,1108,63,1355.210,41.100,30,3.637,84,20.365,3.429,0.025,1.736,0.006,
2014,1am000201,1969460.140,1247,49,1579.360,39.284,27,2.395,87,18.186,0.957,0.011,0.150,-0.019,,2014,1am000201,1969460.140,1247,49,1579.360,39.284,27,2.395,87,18.186,0.957,0.011,0.150,-0.019,
2014,1am000202,1043257.950,825,5,1264.560,40.285,3,1.054,37,6.737,0.341,0.015,-0.025,0.002,,2014,1am000202,1043257.950,825,5,1264.560,40.285,3,1.054,37,6.737,0.341,0.015,-0.025,0.002,
2014,1am000203,4718913.670,3793,141,1244.110,37.145,71,7.670,164,30.786,1.405,0.190,0.362,0.166,,2014,1am000203,4718913.670,3793,141,1244.110,37.145,71,7.670,164,30.786,1.405,0.190,0.362,0.166,
2014,1am000204,5668973.000,4015,348,1411.950,35.813,115,25.664,173,36.112,0.680,-0.036,0.091,-0.046,,2014,1am000204,5668973.000,4015,348,1411.950,35.813,115,25.664,173,36.112,0.680,-0.036,0.091,-0.046,
2014,1am000205,1394195.510,1040,14,1340.570,38.783,13,2.073,82,21.164,2.388,0.055,1.088,0.043,,2014,1am000205,1394195.510,1040,14,1340.570,38.783,13,2.073,82,21.164,2.388,0.055,1.088,0.043,
2014,1am000206,1269461965.990,550327,17672,2306.740,36.398,518,94.909,556,95.918,0.858,0.015,0.251,-0.002,,2014,1am000206,1269461965.990,550327,17672,2306.740,36.398,518,94.909,556,95.918,0.858,0.015,0.251,-0.002,
2014,1am000300,1396301.560,1052,29,1327.280,41.391,18,1.649,63,12.272,1.032,-0.010,0.253,-0.030,,2014,1am000300,1396301.560,1052,29,1327.280,41.391,18,1.649,63,12.272,1.032,-0.010,0.253,-0.030,
2014,1am000301,535458.230,503,23,1064.530,41.105,11,1.699,32,7.002,1.004,-0.060,0.367,-0.065,,2014,1am000301,535458.230,503,23,1064.530,41.105,11,1.699,32,7.002,1.004,-0.060,0.367,-0.065,
2014,1am000302,3766045.930,3373,145,1116.530,37.979,65,3.764,115,19.853,1.239,0.031,0.381,0.017,,2014,1am000302,3766045.930,3373,145,1116.530,37.979,65,3.764,115,19.853,1.239,0.031,0.381,0.017,
2014,1am000303,1095514.870,788,17,1390.250,39.926,11,1.486,72,19.164,0.516,0.019,-0.004,0.014,,2014,1am000303,1095514.870,788,17,1390.250,39.926,11,1.486,72,19.164,0.516,0.019,-0.004,0.014,
2014,1am000304,8402378.080,6493,420,1294.070,37.751,98,9.128,217,33.055,0.602,0.020,0.081,0.004,,2014,1am000304,8402378.080,6493,420,1294.070,37.751,98,9.128,217,33.055,0.602,0.020,0.081,0.004,
2014,1am000305,644320.890,431,16,1494.940,39.223,11,1.762,56,19.712,0.907,0.011,0.074,-0.014,,2014,1am000305,644320.890,431,16,1494.940,39.223,11,1.762,56,19.712,0.907,0.011,0.074,-0.014,
2014,1am000306,970179.500,794,22,1221.890,43.397,17,1.888,71,20.642,0.600,-0.014,0.038,-0.034,,2014,1am000306,970179.500,794,22,1221.890,43.397,17,1.888,71,20.642,0.600,-0.014,0.038,-0.034,
2014,1am000400,13580261.870,5909,142,2298.230,37.934,69,6.539,241,63.580,1.292,0.029,0.312,0.009,,2014,1am000400,13580261.870,5909,142,2298.230,37.934,69,6.539,241,63.580,1.292,0.029,0.312,0.009,
2014,1am000401,2900032.850,2169,105,1337.040,35.728,56,8.769,145,39.481,1.752,0.051,0.666,0.043,,2014,1am000401,2900032.850,2169,105,1337.040,35.728,56,8.769,145,39.481,1.752,0.051,0.666,0.043,
2014,1am000500,1273488.330,1054,50,1208.240,36.105,32,7.903,100,33.409,4.055,0.152,1.986,0.112,,2014,1am000500,1273488.330,1054,50,1208.240,36.105,32,7.903,100,33.409,4.055,0.152,1.986,0.112,
2014,1am000501,7193136.310,4543,283,1583.350,36.458,84,8.826,174,37.295,2.253,0.125,0.786,0.173,,2014,1am000501,7193136.310,4543,283,1583.350,36.458,84,8.826,174,37.295,2.253,0.125,0.786,0.173,
2014,1am000502,303554.950,225,15,1349.130,36.031,9,2.430,27,13.801,9.691,0.031,8.783,0.011,,2014,1am000502,303554.950,225,15,1349.130,36.031,9,2.430,27,13.801,9.691,0.031,8.783,0.011,
2014,1am010000,502873.730,456,6,1102.790,38.373,5,1.209,17,2.065,0.694,0.634,-0.083,0.725,,2014,1am010000,502873.730,456,6,1102.790,38.373,5,1.209,17,2.065,0.694,0.634,-0.083,0.725,
2014,1am010001,451460.920,340,6,1327.830,40.188,5,1.253,36,11.784,0.062,-0.057,-0.297,-0.068,,2014,1am010001,451460.920,340,6,1327.830,40.188,5,1.253,36,11.784,0.062,-0.057,-0.297,-0.068,
2014,1am010100,976524.590,843,41,1158.390,41.306,22,2.328,80,23.944,1.628,0.016,0.383,0.002,,2014,1am010100,976524.590,843,41,1158.390,41.306,22,2.328,80,23.944,1.628,0.016,0.383,0.002,
2014,1am010101,998109.600,724,40,1378.600,39.358,23,3.607,82,31.214,0.887,0.035,0.197,0.006,,2014,1am010101,998109.600,724,40,1378.600,39.358,23,3.607,82,31.214,0.887,0.035,0.197,0.006,
2014,1am010102,360632.510,299,13,1206.130,41.980,9,1.977,41,16.245,1.163,-0.002,0.468,0.003,,2014,1am010102,360632.510,299,13,1206.130,41.980,9,1.977,41,16.245,1.163,-0.002,0.468,0.003,
2014,1am010103,3131528.760,2266,107,1381.960,36.952,40,2.459,110,13.173,0.317,0.013,-0.077,0.008,,2014,1am010103,3131528.760,2266,107,1381.960,36.952,40,2.459,110,13.173,0.317,0.013,-0.077,0.008,
2014,1am020000,672826.950,525,6,1281.580,38.074,4,1.108,31,9.958,1.104,0.040,0.457,0.029,,2014,1am020000,672826.950,525,6,1281.580,38.074,4,1.108,31,9.958,1.104,0.040,0.457,0.029,
2014,1am020001,1127226.890,948,6,1189.060,37.821,5,1.142,57,14.452,0.568,0.003,0.139,-0.003,,2014,1am020001,1127226.890,948,6,1189.060,37.821,5,1.142,57,14.452,0.568,0.003,0.139,-0.003,
2014,1am020002,1343382.070,1105,49,1215.730,40.276,26,2.889,70,13.567,0.459,-0.004,0.028,-0.015,,2014,1am020002,1343382.070,1105,49,1215.730,40.276,26,2.889,70,13.567,0.459,-0.004,0.028,-0.015,
2014,1am020003,1579512.170,1353,9,1167.420,41.590,8,1.133,66,11.749,40.129,0.022,60.409,-0.009,,2014,1am020003,1579512.170,1353,9,1167.420,41.590,8,1.133,66,11.749,40.129,0.022,60.409,-0.009,
2014,1am020004,959629.410,921,9,1041.940,40.156,8,1.210,48,7.767,23.963,0.637,19.675,0.707,,2014,1am020004,959629.410,921,9,1041.940,40.156,8,1.210,48,7.767,23.963,0.637,19.675,0.707,
2014,1am020005,1481063.690,1201,18,1233.190,38.387,13,1.504,58,15.893,2.271,0.039,1.344,0.007,,2014,1am020005,1481063.690,1201,18,1233.190,38.387,13,1.504,58,15.893,2.271,0.039,1.344,0.007,
2014,1am020006,1252212.320,868,19,1442.640,38.811,15,1.391,52,9.966,12.767,0.056,18.786,0.017,,2014,1am020006,1252212.320,868,19,1442.640,38.811,15,1.391,52,9.966,12.767,0.056,18.786,0.017,
2014,1am020007,2784346.420,2199,174,1266.190,37.927,73,11.165,108,24.938,0.695,0.054,0.178,0.036,,2014,1am020007,2784346.420,2199,174,1266.190,37.927,73,11.165,108,24.938,0.695,0.054,0.178,0.036,
2014,1am020008,413626.650,385,5,1074.360,40.140,4,1.155,24,6.290,11.028,0.019,12.276,0.015,,2014,1am020008,413626.650,385,5,1074.360,40.140,4,1.155,24,6.290,11.028,0.019,12.276,0.015,
2014,1am020100,1471807.950,975,24,1509.550,40.781,18,2.480,65,14.584,0.834,-0.021,0.117,-0.024,,2014,1am020100,1471807.950,975,24,1509.550,40.781,18,2.480,65,14.584,0.834,-0.021,0.117,-0.024,
2014,1am020101,1370173.110,1461,55,937.830,41.294,26,2.030,97,19.661,0.672,0.011,0.055,-0.012,,2014,1am020101,1370173.110,1461,55,937.830,41.294,26,2.030,97,19.661,0.672,0.011,0.055,-0.012,
2014,1am020102,1294104.370,1011,18,1280.020,40.168,9,1.484,45,10.229,1.538,0.077,0.479,0.068,,2014,1am020102,1294104.370,1011,18,1280.020,40.168,9,1.484,45,10.229,1.538,0.077,0.479,0.068,
2014,1am020103,778728.490,689,20,1130.230,43.448,9,1.672,64,17.580,1.305,0.014,0.348,-0.004,,2014,1am020103,778728.490,689,20,1130.230,43.448,9,1.672,64,17.580,1.305,0.014,0.348,-0.004,
2014,1am020104,501392.510,377,12,1329.950,43.968,8,1.690,34,9.172,0.747,0.020,0.031,0.007,,2014,1am020104,501392.510,377,12,1329.950,43.968,8,1.690,34,9.172,0.747,0.020,0.031,0.007,
2014,1am020105,498281.240,427,4,1166.940,41.527,3,1.109,32,12.253,0.676,0.014,0.181,0.002,,2014,1am020105,498281.240,427,4,1166.940,41.527,3,1.109,32,12.253,0.676,0.014,0.181,0.002,
2014,1am020106,763355.760,606,5,1259.660,38.048,4,1.115,53,18.090,1.137,0.027,0.300,0.014,,2014,1am020106,763355.760,606,5,1259.660,38.048,4,1.115,53,18.090,1.137,0.027,0.300,0.014,
2014,1am030000,2668616.630,2320,130,1150.270,38.347,45,4.502,114,26.519,1.166,0.025,0.407,0.003,,2014,1am030000,2668616.630,2320,130,1150.270,38.347,45,4.502,114,26.519,1.166,0.025,0.407,0.003,
2014,1am030001,950552.830,852,6,1115.670,41.374,5,1.131,53,16.304,0.657,-0.015,0.023,-0.016,,2014,1am030001,950552.830,852,6,1115.670,41.374,5,1.131,53,16.304,0.657,-0.015,0.023,-0.016,
2014,1am030100,1165501.060,861,72,1353.660,37.541,37,4.358,86,23.521,0.657,0.051,0.066,0.005,,2014,1am030100,1165501.060,861,72,1353.660,37.541,37,4.358,86,23.521,0.657,0.051,0.066,0.005,
2014,1am030101,1887198.530,1482,39,1273.410,40.000,22,2.027,92,24.976,0.684,0.018,0.110,-0.003,,2014,1am030101,1887198.530,1482,39,1273.410,40.000,22,2.027,92,24.976,0.684,0.018,0.110,-0.003,
2014,1am030102,3417473.730,2525,277,1353.460,37.166,88,13.635,159,42.364,1.170,0.026,0.291,0.003,,2014,1am030102,3417473.730,2525,277,1353.460,37.166,88,13.635,159,42.364,1.170,0.026,0.291,0.003,
2014,1am030103,1806615.060,1306,90,1383.320,41.088,40,4.204,102,26.090,1.021,0.025,0.341,0.014,,2014,1am030103,1806615.060,1306,90,1383.320,41.088,40,4.204,102,26.090,1.021,0.025,0.341,0.014,
2014,1am030104,788939.050,668,25,1181.050,42.299,16,1.973,65,20.277,0.295,0.010,-0.161,0.002,,2014,1am030104,788939.050,668,25,1181.050,42.299,16,1.973,65,20.277,0.295,0.010,-0.161,0.002,
2014,1am030200,371401.240,283,15,1312.370,44.191,9,1.827,50,17.482,7.977,0.079,10.320,0.075,,2014,1am030200,371401.240,283,15,1312.370,44.191,9,1.827,50,17.482,7.977,0.079,10.320,0.075,
2014,1am030201,2503702.950,1822,76,1374.150,37.282,37,3.526,77,15.008,1.163,0.018,0.429,0.006,,2014,1am030201,2503702.950,1822,76,1374.150,37.282,37,3.526,77,15.008,1.163,0.018,0.429,0.006,
2014,1am030202,1007892.510,941,7,1071.090,44.507,7,1.163,50,15.492,1.073,-0.007,0.075,-0.017,,2014,1am030202,1007892.510,941,7,1071.090,44.507,7,1.163,50,15.492,1.073,-0.007,0.075,-0.017,
2014,1ap000000,1413817.760,1043,86,1355.530,33.812,42,12.657,82,32.470,2.741,0.055,1.438,0.051,,2014,1ap000000,1413817.760,1043,86,1355.530,33.812,42,12.657,82,32.470,2.741,0.055,1.438,0.051,
2014,1ap000001,275733.250,262,10,1052.420,40.370,4,1.631,24,12.026,0.350,0.038,-0.109,0.033,,2014,1ap000001,275733.250,262,10,1052.420,40.370,4,1.631,24,12.026,0.350,0.038,-0.109,0.033,
2014,1ap000002,814065.060,570,34,1428.180,36.075,18,3.843,54,16.662,0.737,-0.070,0.147,-0.045,,2014,1ap000002,814065.060,570,34,1428.180,36.075,18,3.843,54,16.662,0.737,-0.070,0.147,-0.045,
2014,1ap000100,700623.090,536,43,1307.130,36.966,22,4.454,63,26.715,0.877,0.010,0.128,-0.021,,2014,1ap000100,700623.090,536,43,1307.130,36.966,22,4.454,63,26.715,0.877,0.010,0.128,-0.021,
2014,1ap000101,1663472.870,1141,129,1457.910,36.146,53,8.463,93,30.949,0.678,0.116,0.106,0.065,,2014,1ap000101,1663472.870,1141,129,1457.910,36.146,53,8.463,93,30.949,0.678,0.116,0.106,0.065,
2014,1ap010000,334054.210,333,19,1003.170,39.679,7,1.788,40,19.283,0.577,0.062,-0.018,0.045,,2014,1ap010000,334054.210,333,19,1003.170,39.679,7,1.788,40,19.283,0.577,0.062,-0.018,0.045,
2014,1ap010001,8105230.200,3487,50,2324.410,33.970,26,4.609,164,36.792,15.402,0.086,6.158,0.096,,2014,1ap010001,8105230.200,3487,50,2324.410,33.970,26,4.609,164,36.792,15.402,0.086,6.158,0.096,
2014,1ap010002,389443.240,307,23,1268.550,39.557,10,2.421,54,21.773,1.776,0.085,0.642,0.042,,2014,1ap010002,389443.240,307,23,1268.550,39.557,10,2.421,54,21.773,1.776,0.085,0.642,0.042,
2014,1ap010003,316562321.210,106177,4620,2981.460,37.562,320,29.992,451,45.474,0.853,0.030,0.225,0.009,,2014,1ap010003,316562321.210,106177,4620,2981.460,37.562,320,29.992,451,45.474,0.853,0.030,0.225,0.009,
2014,1ap010004,5850888.920,1928,50,3034.690,36.241,33,5.617,155,56.379,0.782,-0.031,0.239,-0.036,,2014,1ap010004,5850888.920,1928,50,3034.690,36.241,33,5.617,155,56.379,0.782,-0.031,0.239,-0.036,
2014,1ap010005,2747438.180,1696,101,1619.950,37.232,46,8.254,127,30.655,1.030,0.002,0.215,-0.021,,2014,1ap010005,2747438.180,1696,101,1619.950,37.232,46,8.254,127,30.655,1.030,0.002,0.215,-0.021,
2014,1ap010006,18917431.410,11542,663,1639.010,35.729,160,29.155,315,70.848,1.076,0.034,0.352,0.004,,2014,1ap010006,18917431.410,11542,663,1639.010,35.729,160,29.155,315,70.848,1.076,0.034,0.352,0.004,
2014,1ap010007,227632.560,93,16,2447.660,37.086,12,7.035,29,20.084,-0.355,-0.191,-0.707,-0.260,,2014,1ap010007,227632.560,93,16,2447.660,37.086,12,7.035,29,20.084,-0.355,-0.191,-0.707,-0.260,
2014,1ap010100,4116374.580,2507,240,1641.950,36.055,78,12.715,164,48.936,1.282,0.038,0.224,0.027,,2014,1ap010100,4116374.580,2507,240,1641.950,36.055,78,12.715,164,48.936,1.282,0.038,0.224,0.027,
2014,1ap010101,1523729.020,1055,57,1444.290,40.874,26,4.542,102,33.551,0.935,0.013,0.240,0.019,,2014,1ap010101,1523729.020,1055,57,1444.290,40.874,26,4.542,102,33.551,0.935,0.013,0.240,0.019,
2014,1ap010102,235793.180,156,33,1511.500,39.462,18,8.459,34,18.088,-0.657,0.044,-0.816,-0.006,,2014,1ap010102,235793.180,156,33,1511.500,39.462,18,8.459,34,18.088,-0.657,0.044,-0.816,-0.006,
2014,1pa000000,11625282.660,5972,173,1946.630,38.644,77,13.827,248,64.761,0.261,-0.021,-0.170,-0.043,,2014,1pa000000,11625282.660,5972,173,1946.630,38.644,77,13.827,248,64.761,0.261,-0.021,-0.170,-0.043,
