Tabela 1301 - Área e Densidade demográfica da unidade territorial;;;
Variável - Densidade demográfica da unidade territorial (Habitante por quilômetro quadrado);;;
Nível;Cód.;Município;Ano
Nível;Cód.;Município;2010
MU;1100015;Alta Floresta D'Oeste (RO);3,45
MU;1100023;Ariquemes (RO);20,41
MU;1100031;Cabixi (RO);4,8
MU;1100049;Cacoal (RO);20,72
MU;1100056;Cerejeiras (RO);6,12
MU;1100064;Colorado do Oeste (RO);12,81
MU;1100072;Corumbiara (RO);2,87
MU;1100080;Costa Marques (RO);2,74
MU;1100098;Espigão D'Oeste (RO);6,36
MU;1100106;Guajará-Mirim (RO);1,68
MU;1100114;Jaru (RO);17,66
MU;1100122;Ji-Paraná (RO);16,91
MU;1100130;Machadinho D'Oeste (RO);3,66
MU;1100148;Nova Brasilândia D'Oeste (RO);17,2
MU;1100155;Ouro Preto do Oeste (RO);19,25
MU;1100189;Pimenta Bueno (RO);5,42
MU;1100205;Porto Velho (RO);12,57
MU;1100254;Presidente Médici (RO);12,69
MU;1100262;Rio Crespo (RO);1,93
MU;1100288;Rolim de Moura (RO);34,74
MU;1100296;Santa Luzia D'Oeste (RO);7,42
MU;1100304;Vilhena (RO);6,62
MU;1100320;São Miguel do Guaporé (RO);2,73
MU;1100338;Nova Mamoré (RO);2,24
MU;1100346;Alvorada D'Oeste (RO);5,56
MU;1100379;Alto Alegre dos Parecis (RO);3,24
MU;1100403;Alto Paraíso (RO);6,46
MU;1100452;Buritis (RO);9,92
MU;1100502;Novo Horizonte do Oeste (RO);12,14
MU;1100601;Cacaulândia (RO);2,92
MU;1100700;Campo Novo de Rondônia (RO);3,68
MU;1100809;Candeias do Jamari (RO);2,89
MU;1100908;Castanheiras (RO);4
MU;1100924;Chupinguaia (RO);1,62
MU;1100940;Cujubim (RO);4,1
MU;1101005;Governador Jorge Teixeira (RO);2,07
MU;1101104;Itapuã do Oeste (RO);2,1
MU;1101203;Ministro Andreazza (RO);12,97
MU;1101302;Mirante da Serra (RO);9,97
MU;1101401;Monte Negro (RO);7,3
MU;1101435;Nova União (RO);9,28
MU;1101450;Parecis (RO);1,89
MU;1101468;Pimenteiras do Oeste (RO);0,38
MU;1101476;Primavera de Rondônia (RO);5,82
MU;1101484;São Felipe D'Oeste (RO);11,11
MU;1101492;São Francisco do Guaporé (RO);1,46
MU;1101500;Seringueiras (RO);3,08
MU;1101559;Teixeirópolis (RO);10,63
MU;1101609;Theobroma (RO);4,85
MU;1101708;Urupá (RO);15,6
MU;1101757;Vale do Anari (RO);2,99
MU;1101807;Vale do Paraíso (RO);8,5
MU;1200013;Acrelândia (AC);6,94
MU;1200054;Assis Brasil (AC);1,22
MU;1200104;Brasiléia (AC);5,46
MU;1200138;Bujari (AC);2,79
MU;1200179;Capixaba (AC);5,17
MU;1200203;Cruzeiro do Sul (AC);8,94
MU;1200252;Epitaciolândia (AC);9,13
MU;1200302;Feijó (AC);1,16
MU;1200328;Jordão (AC);1,23
MU;1200336;Mâncio Lima (AC);2,79
MU;1200344;Manoel Urbano (AC);0,75
MU;1200351;Marechal Thaumaturgo (AC);1,74
MU;1200385;Plácido de Castro (AC);8,86
MU;1200393;Porto Walter (AC);1,42
MU;1200401;Rio Branco (AC);38,03
MU;1200427;Rodrigues Alves (AC);4,68
MU;1200435;Santa Rosa do Purus (AC);0,76
MU;1200450;Senador Guiomard (AC);8,69
MU;1200500;Sena Madureira (AC);1,6
MU;1200609;Tarauacá (AC);1,76
MU;1200708;Xapuri (AC);3,01
MU;1200807;Porto Acre (AC);5,71
MU;1300029;Alvarães (AM);2,38
MU;1300060;Amaturá (AM);1,99
MU;1300086;Anamã (AM);4,16
MU;1300102;Anori (AM);2,82
MU;1300144;Apuí (AM);0,33
MU;1300201;Atalaia do Norte (AM);0,2
MU;1300300;Autazes (AM);4,23
MU;1300409;Barcelos (AM);0,21
MU;1300508;Barreirinha (AM);4,76
MU;1300607;Benjamin Constant (AM);3,8
MU;1300631;Beruri (AM);0,9
MU;1300680;Boa Vista do Ramos (AM);5,79
MU;1300706;Boca do Acre (AM);1,4
MU;1300805;Borba (AM);0,79
MU;1300839;Caapiranga (AM);1,16
MU;1300904;Canutama (AM);0,43
MU;1301001;Carauari (AM);1
MU;1301100;Careiro (AM);5,37
MU;1301159;Careiro da Várzea (AM);9,09
MU;1301209;Coari (AM);1,31
MU;1301308;Codajás (AM);1,24
MU;1301407;Eirunepé (AM);2,04
