IBGE;TSE;MUNICIPIO;UF;PIP
1100015;310;ALTA FLORESTA DO OESTE;RO;2152
1100023;78;ARIQUEMES;RO;11407
1100031;450;CABIXI;RO;554
1100049;94;CACOAL;RO;11477
1100056;272;CEREJEIRAS;RO;2872
1100064;230;COLORADO DO OESTE;RO;2327
1100072;655;CORUMBIARA;RO;764
1100080;213;COSTA MARQUES;RO;1711
1100098;256;ESPIGÃO DO OESTE;RO;3778
1100106;19;GUAJARÁ-MIRIM;RO;10
1100114;159;JARU;RO;4658
1100122;51;JI-PARANÁ;RO;13433
1100130;396;MACHADINHO DO OESTE;RO;2730
1100148;370;NOVA BRASILÂNDIA DO OESTE;RO;1877
1100155;175;OURO PRETO DO OESTE;RO;4274
1100189;116;PIMENTA BUENO;RO;4340
1100205;35;PORTO VELHO;RO;40247
1100254;191;PRESIDENTE MÉDICI;RO;5
1100262;647;RIO CRESPO;RO;324
1100288;299;ROLIM DE MOURA;RO;8726
1100296;353;SANTA LUZIA DO OESTE;RO;632
1100304;132;VILHENA;RO;12157
1100320;418;SÃO MIGUEL DO GUAPORÉ;RO;2473
1100338;434;NOVA MAMORÉ;RO;156
1100346;337;ALVORADA DO OESTE;RO;1567
1100379;736;ALTO ALEGRE DOS PARECIS;RO;846
1100403;639;ALTO PARAÍSO;RO;1457
1100452;779;BURITIS;RO;2613
1100502;515;NOVO HORIZONTE DO OESTE;RO;424
1100601;620;CACAULÂNDIA;RO;406
1100700;671;CAMPO NOVO DE RONDÔNIA;RO;609
1100809;477;CANDEIAS DO JAMARI;RO;2159
1100908;531;CASTANHEIRAS;RO;253
1100924;809;CHUPINGUAIA;RO;1157
1100940;680;CUJUBIM;RO;1520
1101005;612;GOVERNADOR JORGE TEIXEIRA;RO;471
1101104;493;ITAPUÃ DO OESTE;RO;912
1101203;604;MINISTRO ANDREAZZA;RO;3
1101302;574;MIRANTE DA SERRA;RO;948
1101401;663;MONTE NEGRO;RO;1095
1101435;744;NOVA UNIÃO;RO;376
1101450;701;PARECIS;RO;1
1101468;787;PIMENTEIRAS DO OESTE;RO;434
1101476;728;PRIMAVERA DE RONDÔNIA;RO;457
1101484;710;SÃO FELIPE DO OESTE;RO;451
1101492;795;SÃO FRANCISCO DO GUAPORÉ;RO;1976
1101500;582;SERINGUEIRAS;RO;831
1101559;752;TEIXEIRÓPOLIS;RO;292
1101609;590;THEOBROMA;RO;522
1101708;566;URUPÁ;RO;991
1101757;698;VALE DO ANARI;RO;572
1101807;558;VALE DO PARAÍSO;RO;501
1200013;1120;ACRELÂNDIA;AC;1095
1200054;1570;ASSIS BRASIL;AC;688
1200104;1058;BRASILÉIA;AC;2374
1200138;1007;BUJARI;AC;843
1200179;1015;CAPIXABA;AC;659
1200203;1074;CRUZEIRO DO SUL;AC;6393
1200252;1112;EPITACIOLÂNDIA;AC;1796
1200302;1139;FEIJÓ;AC;2018
1200328;1104;JORDÃO;AC;308
1200336;1090;MÂNCIO LIMA;AC;1107
1200344;1554;MANOEL URBANO;AC;459
1200351;1040;MARECHAL THAUMATURGO;AC;304
1200385;1511;PLÁCIDO DE CASTRO;AC;1769
1200393;1066;PORTO WALTER;AC;446
1200401;1392;RIO BRANCO;AC;43027
1200427;1082;RODRIGUES ALVES;AC;684
1200435;1031;SANTA ROSA DO PURUS;AC;247
1200450;1538;SENADOR GUIOMARD;AC;2049
1200500;1457;SENA MADUREIRA;AC;2427
1200609;1473;TARAUACÁ;AC;1513
1200708;1490;XAPURI;AC;1123
1200807;1023;PORTO ACRE;AC;1454
1300029;2895;ALVARÃES;AM;274
1300060;2917;AMATURÁ;AM;171
1300086;2933;ANAMÃ;AM;187
1300102;2038;ANORI;AM;623
1300144;2003;APUÍ;AM;1639
1300201;2054;ATALAIA DO NORTE;AM;372
1300300;2070;AUTAZES;AM;1705
1300409;2097;BARCELOS;AM;952
1300508;2119;BARREIRINHA;AM;1132
1300607;2135;BENJAMIN CONSTANT;AM;1024
1300680;2976;BOA VISTA DO RAMOS;AM;651
1300706;2151;BOCA DO ACRE;AM;1663
1300805;2178;BORBA;AM;1309
1300839;2992;CAAPIRANGA;AM;41
1300904;2194;CANUTAMA;AM;510
1301001;2216;CARAUARI;AM;897
1301100;2232;CAREIRO;AM;938
1301159;2046;CAREIRO DA VÁRZEA;AM;50
1301209;2259;COARI;AM;2635
1301308;2275;CODAJÁS;AM;637
1301407;2291;EIRUNEPÉ;AM;434
1301506;2313;ENVIRA;AM;800
1301605;2330;FONTE BOA;AM;863
1301654;2020;GUAJARÁ;AM;455
1301704;2356;HUMAITÁ;AM;2686
1301803;2399;IPIXUNA;AM;288
1301852;98353;IRANDUBA;AM;4494
1301902;2410;ITACOATIARA;AM;5331
1301951;98370;ITAMARATI;AM;304
1302009;2437;ITAPIRANGA;AM;816
1302108;2453;JAPURÁ;AM;291
1302207;2470;JURUÁ;AM;596
1302306;2496;JUTAÍ;AM;625
1302405;2518;LÁBREA;AM;1202
1302504;2534;MANACAPURU;AM;3019
1302553;98396;MANAQUIRI;AM;491
1302603;2550;MANAUS;AM;123630
1302702;2577;MANICORÉ;AM;2252
1302801;2593;MARAÃ;AM;506
1302900;2615;MAUÉS;AM;2100
1303007;2631;NHAMUNDÁ;AM;394
1303106;2658;NOVA OLINDA DO NORTE;AM;1130
1303205;2011;NOVO AIRÃO;AM;1143
1303304;2674;NOVO ARIPUANÃ;AM;1160
1303403;2690;PARINTINS;AM;5486
1303502;2712;PAUINI;AM;515
1303536;98418;PRESIDENTE FIGUEIREDO;AM;1370
1303569;98434;RIO PRETO DA EVA;AM;1077
1303601;2372;SANTA ISABEL DO RIO NEGRO;AM;470
1303700;2739;SANTO ANTÔNIO DO IÇÁ;AM;808
1303809;2836;SÃO GABRIEL DA CACHOEIRA;AM;1486
1303908;2755;SÃO PAULO DE OLIVENÇA;AM;647
1303957;98450;SÃO SEBASTIÃO DO UATUMÃ;AM;784
1304005;2771;SILVES;AM;488
1304062;98477;TABATINGA;AM;2529
1304104;2798;TAPAUÁ;AM;640
1304203;2810;TEFÉ;AM;2588
1304237;98515;TONANTINS;AM;375
1304260;98493;UARINI;AM;276
1304302;2852;URUCARÁ;AM;923
1304401;2879;URUCURITUBA;AM;964
1400027;3042;AMAJARI;RR;659
1400050;3050;ALTO ALEGRE;RR;1558
1400100;3018;BOA VISTA;RR;42251
1400159;3077;BONFIM;RR;1821
1400175;3069;CANTÁ;RR;2108
1400209;3034;CARACARAÍ;RR;2271
1400233;3000;CAROEBE;RR;1027
1400282;3026;IRACEMA;RR;1131
1400308;3093;MUCAJAÍ;RR;2443
1400407;3115;NORMANDIA;RR;733
1400456;3123;PACARAIMA;RR;750
1400472;3085;RORAINÓPOLIS;RR;2209
1400506;3131;SÃO JOÃO DA BALIZA;RR;564
1400605;3158;SÃO LUIZ;RR;914
1400704;3107;UIRAMUTÃ;RR;100
1500107;4014;ABAETETUBA;PA;5921
1500131;4502;ABEL FIGUEIREDO;PA;610
1500206;4030;ACARÁ;PA;1659
1500305;4057;AFUÁ;PA;580
1500347;4260;ÁGUA AZUL DO NORTE;PA;831
1500404;4073;ALENQUER;PA;2647
1500503;4090;ALMEIRIM;PA;2530
1500602;4111;ALTAMIRA;PA;15431
1500701;4138;ANAJÁS;PA;675
1500800;4154;ANANINDEUA;PA;33085
1500859;4723;ANAPU;PA;1127
1500909;4170;AUGUSTO CORRÊA;PA;2280
1500958;4340;AURORA DO PARÁ;PA;1390
1501006;4197;AVEIRO;PA;492
1501105;4219;BAGRE;PA;401
1501204;4235;BAIÃO;PA;445
1501253;4588;BANNACH;PA;1
1501303;4251;BARCARENA;PA;8851
1501402;4278;BELÉM;PA;84431
1501451;4804;BELTERRA;PA;1241
1501501;4294;BENEVIDES;PA;6879
1501576;4049;BOM JESUS DO TOCANTINS;PA;1224
1501600;4316;BONITO;PA;1032
1501709;4332;BRAGANÇA;PA;6089
1501725;4227;BRASIL NOVO;PA;1867
1501758;5932;BREJO GRANDE DO ARAGUAIA;PA;686
1501782;4448;BREU BRANCO;PA;2726
1501808;4359;BREVES;PA;2188
1501907;4375;BUJARU;PA;1402
1501956;4766;CACHOEIRA DO PIRIÁ;PA;1620
1502004;4391;CACHOEIRA DO ARARI;PA;686
1502103;4413;CAMETÁ;PA;5049
1502152;4707;CANAÃ DOS CARAJÁS;PA;10209
1502202;4430;CAPANEMA;PA;6361
1502301;4456;CAPITÃO POÇO;PA;4923
1502400;4472;CASTANHAL;PA;14286
1502509;4499;CHAVES;PA;375
1502608;4510;COLARES;PA;1374
1502707;4537;CONCEIÇÃO DO ARAGUAIA;PA;4968
1502756;5819;CONCÓRDIA DO PARÁ;PA;1937
1502764;4529;CUMARU DO NORTE;PA;383
1502772;5851;CURIONÓPOLIS;PA;2946
1502806;4553;CURRALINHO;PA;586
1502855;4740;CURUÁ;PA;1046
1502905;4570;CURUÇÁ;PA;3410
1502939;5975;DOM ELISEU;PA;4289
1502954;4120;ELDORADO DOS CARAJÁS;PA;182
1503002;4596;FARO;PA;641
1503077;5878;GARRAFÃO DO NORTE;PA;1364
1503093;4006;GOIANÉSIA DO PARÁ;PA;1772
1503101;4618;GURUPÁ;PA;544
1503200;4634;IGARAPÉ-AÇU;PA;3920
1503309;4650;IGARAPÉ-MIRI;PA;1620
1503408;4677;INHANGAPI;PA;506
1503457;4189;IPIXUNA DO PARÁ;PA;2138
1503507;4693;IRITUIA;PA;1913
1503606;4715;ITAITUBA;PA;8619
1503705;4731;ITUPIRANGA;PA;3173
1503754;4200;JACAREACANGA;PA;551
1503804;4758;JACUNDÁ;PA;3532
1503903;4774;JURUTI;PA;1903
1504000;4790;LIMOEIRO DO AJURU;PA;388
