Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Liquidez 2013;IFGF Liquidez 2013;Ranking Estadual 2014;Ranking IFGF Liquidez 2014;IFGF Liquidez 2014;Ranking Estadual 2015;Ranking IFGF Liquidez 2015;IFGF Liquidez 2015;Ranking Estadual 2016;Ranking IFGF Liquidez 2016;IFGF Liquidez 2016;Ranking Estadual 2017;Ranking IFGF Liquidez 2017;IFGF Liquidez 2017;Ranking Estadual 2018;Ranking IFGF Liquidez 2018;IFGF Liquidez 2018
110001;RO;Alta Floresta D'Oeste;39º;2.588º;0,5414;41º;1.820º;0,5808;46º;3.642º;0,0000;28º;1.435º;0,6784;49º;4.361º;0,0000;39º;2.120º;0,6213
110002;RO;Ariquemes;18º;694º;0,9108;18º;629º;0,9287;19º;735º;0,8675;35º;1.879º;0,6179;28º;1.907º;0,6468;43º;2.619º;0,5635
110003;RO;Cabixi;25º;960º;0,7896;19º;708º;0,8788;16º;591º;0,9926;16º;628º;0,9638;9º;773º;0,9399;1º;1º;1,0000
110004;RO;Cacoal;23º;900º;0,8131;21º;847º;0,7995;23º;1.034º;0,7325;18º;809º;0,8440;20º;1.303º;0,7468;27º;1.419º;0,7306
110005;RO;Cerejeiras;37º;1.932º;0,6045;33º;1.192º;0,6919;42º;2.193º;0,5374;29º;1.504º;0,6677;19º;1.252º;0,7575;38º;2.093º;0,6240
110006;RO;Colorado do Oeste;33º;1.697º;0,6321;44º;2.846º;0,4739;44º;2.722º;0,4865;30º;1.554º;0,6615;44º;3.125º;0,5210;34º;1.837º;0,6563
110007;RO;Corumbiara;45º;4.188º;0,0000;30º;1.003º;0,7427;37º;1.879º;0,5746;42º;2.196º;0,5877;17º;1.166º;0,7795;20º;1.002º;0,8372
110008;RO;Costa Marques;45º;4.188º;0,0000;47º;3.612º;0,0000;46º;3.642º;0,0000;51º;4.341º;0,0000;11º;926º;0,8612;14º;864º;0,8933
110009;RO;Espigão D'Oeste;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;18º;1.178º;0,7743;19º;963º;0,8525
110010;RO;Guajará-Mirim;22º;895º;0,8142;23º;860º;0,7937;38º;1.930º;0,5680;17º;651º;0,9381;8º;729º;0,9679;1º;1º;1,0000
110011;RO;Jaru;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;37º;2.446º;0,5836;23º;1.118º;0,8006
110012;RO;Ji-Paraná;17º;667º;0,9251;1º;1º;1,0000;1º;1º;1,0000;36º;1.900º;0,6161;25º;1.749º;0,6680;25º;1.309º;0,7515
110013;RO;Machadinho D'Oeste;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;39º;2.529º;0,5752;35º;1.883º;0,6489
110014;RO;Nova Brasilândia D'Oeste;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;38º;2.524º;0,5754;30º;1.569º;0,7014
110015;RO;Ouro Preto do Oeste;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;35º;2.160º;0,6145;48º;3.301º;0,4964
110018;RO;Pimenta Bueno;31º;1.205º;0,7163;22º;852º;0,7965;24º;1.090º;0,7151;20º;920º;0,7960;15º;1.084º;0,8002;29º;1.517º;0,7091
110020;RO;Porto Velho;19º;721º;0,8918;1º;1º;1,0000;18º;724º;0,8786;22º;972º;0,7776;22º;1.456º;0,7225;26º;1.345º;0,7444
110025;RO;Presidente Médici;45º;4.188º;0,0000;32º;1.146º;0,7018;34º;1.781º;0,5880;31º;1.611º;0,6552;23º;1.499º;0,7158;31º;1.675º;0,6821
110026;RO;Rio Crespo;35º;1.889º;0,6090;46º;3.324º;0,4295;45º;3.078º;0,4546;33º;1.807º;0,6267;47º;3.786º;0,4613;45º;3.124º;0,5129
110028;RO;Rolim de Moura;45º;4.188º;0,0000;34º;1.217º;0,6846;46º;3.642º;0,0000;27º;1.244º;0,7070;49º;4.361º;0,0000;49º;3.622º;0,4677
110029;RO;Santa Luzia D'Oeste;36º;1.894º;0,6085;24º;868º;0,7912;46º;3.642º;0,0000;50º;4.289º;0,4080;12º;928º;0,8608;12º;840º;0,9061
110030;RO;Vilhena;41º;3.191º;0,4904;47º;3.612º;0,0000;46º;3.642º;0,0000;45º;2.511º;0,5583;40º;2.946º;0,5366;37º;2.064º;0,6271
110032;RO;São Miguel do Guaporé;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;16º;1.125º;0,7870;16º;921º;0,8634
110033;RO;Nova Mamoré;20º;805º;0,8523;1º;1º;1,0000;43º;2.582º;0,4998;48º;2.794º;0,5366;26º;1.784º;0,6636;36º;1.944º;0,6391
110034;RO;Alvorada D'Oeste;1º;1º;1,0000;1º;1º;1,0000;46º;3.642º;0,0000;34º;1.877º;0,6180;21º;1.338º;0,7402;32º;1.722º;0,6754
110037;RO;Alto Alegre dos Parecis;32º;1.298º;0,6989;42º;2.227º;0,5341;41º;2.036º;0,5576;32º;1.680º;0,6445;34º;2.025º;0,6302;44º;2.833º;0,5400
110040;RO;Alto Paraíso;24º;914º;0,8077;39º;1.561º;0,6182;21º;889º;0,7844;19º;882º;0,8112;6º;688º;0,9917;1º;1º;1,0000
110045;RO;Buritis;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;33º;2.021º;0,6309;17º;928º;0,8609
110050;RO;Novo Horizonte do Oeste;44º;3.932º;0,4261;45º;3.264º;0,4352;36º;1.848º;0,5777;21º;950º;0,7872;42º;2.956º;0,5360;41º;2.295º;0,5989
110060;RO;Cacaulândia;45º;4.188º;0,0000;20º;750º;0,8520;30º;1.477º;0,6303;49º;3.096º;0,5128;43º;3.001º;0,5314;33º;1.756º;0,6692
110070;RO;Campo Novo de Rondônia;43º;3.731º;0,4466;37º;1.325º;0,6614;35º;1.833º;0,5803;51º;4.341º;0,0000;49º;4.361º;0,0000;51º;4.217º;0,0000
110080;RO;Candeias do Jamari;34º;1.826º;0,6165;36º;1.314º;0,6638;26º;1.150º;0,6968;40º;2.092º;0,5949;27º;1.835º;0,6559;nd;nd;nd
110090;RO;Castanheiras;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
110092;RO;Chupinguaia;40º;3.006º;0,5053;40º;1.623º;0,6091;20º;833º;0,8120;24º;1.047º;0,7570;13º;970º;0,8418;13º;852º;0,9004
110094;RO;Cujubim;26º;1.093º;0,7426;28º;949º;0,7619;27º;1.182º;0,6896;44º;2.327º;0,5737;41º;2.954º;0,5361;24º;1.174º;0,7824
110100;RO;Governador Jorge Teixeira;1º;1º;1,0000;nd;nd;nd;1º;1º;1,0000;1º;1º;1,0000;10º;776º;0,9371;1º;1º;1,0000
110110;RO;Itapuã do Oeste;42º;3.281º;0,4827;26º;927º;0,7706;40º;1.972º;0,5645;38º;1.923º;0,6128;49º;4.361º;0,0000;11º;785º;0,9373
110120;RO;Ministro Andreazza;45º;4.188º;0,0000;47º;3.612º;0,0000;29º;1.416º;0,6401;37º;1.913º;0,6144;36º;2.173º;0,6131;18º;949º;0,8564
110130;RO;Mirante da Serra;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;28º;1.464º;0,7210
110140;RO;Monte Negro;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
110143;RO;Nova União;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
110145;RO;Parecis;45º;4.188º;0,0000;29º;987º;0,7473;31º;1.557º;0,6180;43º;2.267º;0,5798;46º;3.585º;0,4793;47º;3.289º;0,4973
110146;RO;Pimenteiras do Oeste;45º;4.188º;0,0000;35º;1.261º;0,6759;39º;1.940º;0,5674;23º;994º;0,7708;14º;1.020º;0,8260;21º;1.009º;0,8353
110147;RO;Primavera de Rondônia;29º;1.141º;0,7294;31º;1.015º;0,7389;25º;1.115º;0,7068;26º;1.119º;0,7394;24º;1.523º;0,7116;1º;1º;1,0000
110148;RO;São Felipe D'Oeste;27º;1.130º;0,7321;27º;934º;0,7672;33º;1.570º;0,6157;47º;2.762º;0,5385;29º;1.914º;0,6457;15º;914º;0,8657
110149;RO;São Francisco do Guaporé;1º;1º;1,0000;17º;558º;0,9906;1º;1º;1,0000;1º;1º;1,0000;48º;3.864º;0,4544;40º;2.279º;0,6008
110150;RO;Seringueiras;16º;662º;0,9280;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;32º;1.964º;0,6388;22º;1.079º;0,8135
110155;RO;Teixeirópolis;21º;864º;0,8247;25º;896º;0,7793;17º;624º;0,9694;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
110160;RO;Theobroma;38º;1.970º;0,6008;nd;nd;nd;32º;1.563º;0,6167;41º;2.129º;0,5929;45º;3.293º;0,5059;50º;4.053º;0,4235
110170;RO;Urupá;28º;1.139º;0,7298;38º;1.421º;0,6422;28º;1.189º;0,6885;39º;2.002º;0,6048;31º;1.951º;0,6403;42º;2.485º;0,5761
110175;RO;Vale do Anari;1º;1º;1,0000;nd;nd;nd;46º;3.642º;0,0000;46º;2.723º;0,5423;30º;1.934º;0,6424;46º;3.280º;0,4985
110180;RO;Vale do Paraíso;30º;1.187º;0,7193;43º;2.780º;0,4798;22º;968º;0,7526;25º;1.095º;0,7458;7º;711º;0,9770;10º;773º;0,9422
120001;AC;Acrelândia;nd;nd;nd;17º;3.612º;0,0000;19º;3.642º;0,0000;10º;2.126º;0,5933;15º;1.850º;0,6539;3º;860º;0,8962
120005;AC;Assis Brasil;16º;3.457º;0,4685;16º;3.554º;0,4062;18º;3.601º;0,4038;16º;2.655º;0,5475;22º;4.074º;0,4345;18º;3.836º;0,4473
120010;AC;Brasiléia;9º;1.402º;0,6772;9º;1.948º;0,5658;9º;1.534º;0,6213;8º;1.708º;0,6412;7º;1.102º;0,7948;6º;1.022º;0,8313
120013;AC;Bujari;11º;2.016º;0,5963;17º;3.612º;0,0000;19º;3.642º;0,0000;13º;2.322º;0,5745;1º;1º;1,0000;5º;980º;0,8462
120017;AC;Capixaba;19º;4.188º;0,0000;7º;1.819º;0,5809;8º;1.513º;0,6243;18º;2.710º;0,5439;21º;3.487º;0,4877;15º;2.573º;0,5679
120020;AC;Cruzeiro do Sul;3º;714º;0,8951;5º;1.478º;0,6318;11º;1.682º;0,6004;12º;2.241º;0,5827;17º;2.759º;0,5533;17º;3.334º;0,4932
120025;AC;Epitaciolândia;17º;3.658º;0,4523;nd;nd;nd;10º;1.588º;0,6129;14º;2.410º;0,5658;18º;2.814º;0,5484;14º;2.415º;0,5843
120030;AC;Feijó;13º;2.100º;0,5868;11º;2.288º;0,5292;7º;1.413º;0,6407;7º;1.418º;0,6810;12º;1.403º;0,7311;nd;nd;nd
120032;AC;Jordão;4º;749º;0,8817;3º;912º;0,7746;5º;1.084º;0,7163;4º;1.062º;0,7533;5º;990º;0,8358;7º;1.071º;0,8163
120033;AC;Mâncio Lima;19º;4.188º;0,0000;17º;3.612º;0,0000;6º;1.209º;0,6839;17º;2.656º;0,5472;8º;1.282º;0,7510;13º;2.164º;0,6165
120034;AC;Manoel Urbano;12º;2.068º;0,5915;12º;2.533º;0,5010;15º;2.232º;0,5338;21º;3.473º;0,4834;11º;1.402º;0,7313;9º;1.494º;0,7138
120035;AC;Marechal Thaumaturgo;15º;3.364º;0,4759;15º;3.125º;0,4488;nd;nd;nd;11º;2.210º;0,5864;19º;3.017º;0,5301;12º;2.103º;0,6227
120038;AC;Plácido de Castro;5º;888º;0,8163;2º;617º;0,9375;4º;994º;0,7435;19º;2.806º;0,5356;20º;3.072º;0,5252;nd;nd;nd
120039;AC;Porto Walter;7º;1.273º;0,7035;8º;1.940º;0,5665;2º;864º;0,7956;3º;832º;0,8288;14º;1.730º;0,6713;nd;nd;nd
120040;AC;Rio Branco;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
120042;AC;Rodrigues Alves;10º;1.622º;0,6427;6º;1.683º;0,5995;13º;1.728º;0,5940;15º;2.465º;0,5623;9º;1.302º;0,7470;11º;1.959º;0,6378
120043;AC;Santa Rosa do Purus;18º;3.779º;0,4414;17º;3.612º;0,0000;12º;1.690º;0,5993;6º;1.294º;0,6984;10º;1.326º;0,7422;nd;nd;nd
