Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Autonomia 2013;IFGF Autonomia 2013;Ranking Estadual 2014;Ranking IFGF Autonomia 2014;IFGF Autonomia 2014;Ranking Estadual 2015;Ranking IFGF Autonomia 2015;IFGF Autonomia 2015;Ranking Estadual 2016;Ranking IFGF Autonomia 2016;IFGF Autonomia 2016;Ranking Estadual 2017;Ranking IFGF Autonomia 2017;IFGF Autonomia 2017;Ranking Estadual 2018;Ranking IFGF Autonomia 2018;IFGF Autonomia 2018
110001;RO;Alta Floresta D'Oeste;17º;2.266º;0,3645;21º;2.132º;0,4002;16º;2.118º;0,4225;21º;2.211º;0,3666;22º;2.629º;0,2749;29º;2.852º;0,1953
110002;RO;Ariquemes;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;6º;1.147º;0,7873;3º;959º;0,9779;4º;1.193º;0,8431
110003;RO;Cabixi;12º;2.004º;0,4670;8º;1.350º;0,7213;11º;1.438º;0,7067;12º;1.635º;0,6011;13º;1.890º;0,5537;13º;1.961º;0,5162
110004;RO;Cacoal;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;5º;1.280º;0,8034
110005;RO;Cerejeiras;16º;2.264º;0,3652;9º;1.481º;0,6573;12º;1.589º;0,6412;15º;1.737º;0,5587;15º;1.947º;0,5313;12º;1.955º;0,5183
110006;RO;Colorado do Oeste;30º;2.664º;0,2092;26º;2.228º;0,3632;18º;2.165º;0,4050;14º;1.683º;0,5796;16º;2.339º;0,3838;25º;2.743º;0,2300
110007;RO;Corumbiara;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;916º;0,9934
110008;RO;Costa Marques;43º;3.303º;0,0000;43º;3.311º;0,0000;44º;3.310º;0,0269;33º;2.915º;0,1381;26º;2.819º;0,2047;44º;3.482º;0,0000
110009;RO;Espigão D'Oeste;21º;2.392º;0,3138;23º;2.158º;0,3904;29º;2.469º;0,2975;35º;2.981º;0,1202;25º;2.787º;0,2191;19º;2.278º;0,3950
110010;RO;Guajará-Mirim;15º;2.246º;0,3741;30º;2.428º;0,2919;19º;2.202º;0,3935;29º;2.451º;0,2848;39º;3.209º;0,0827;33º;2.866º;0,1885
110011;RO;Jaru;27º;2.536º;0,2606;32º;2.508º;0,2617;25º;2.304º;0,3578;18º;2.119º;0,3994;21º;2.542º;0,3114;16º;2.034º;0,4899
110012;RO;Ji-Paraná;1º;1º;1,0000;1º;1º;1,0000;7º;904º;0,9646;3º;934º;0,8921;6º;1.230º;0,8320;3º;1.149º;0,8657
110013;RO;Machadinho D'Oeste;42º;3.225º;0,0244;43º;3.311º;0,0000;37º;2.824º;0,1798;32º;2.811º;0,1718;41º;3.512º;0,0000;26º;2.773º;0,2186
110014;RO;Nova Brasilândia D'Oeste;36º;2.761º;0,1726;41º;3.105º;0,0669;43º;3.253º;0,0438;16º;1.766º;0,5442;32º;3.046º;0,1311;36º;3.001º;0,1426
110015;RO;Ouro Preto do Oeste;33º;2.704º;0,1960;22º;2.147º;0,3935;31º;2.572º;0,2652;44º;3.432º;0,0000;27º;2.822º;0,2020;34º;2.886º;0,1797
110018;RO;Pimenta Bueno;8º;1.165º;0,8403;7º;1.206º;0,7896;1º;1º;1,0000;8º;1.379º;0,6937;7º;1.239º;0,8273;7º;1.390º;0,7543
110020;RO;Porto Velho;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;5º;1.135º;0,7911;4º;1.021º;0,9393;8º;1.699º;0,6220
110025;RO;Presidente Médici;41º;2.970º;0,1073;29º;2.389º;0,3091;28º;2.447º;0,3051;27º;2.432º;0,2913;35º;3.120º;0,1088;28º;2.842º;0,1981
110026;RO;Rio Crespo;18º;2.278º;0,3596;16º;1.912º;0,4821;22º;2.254º;0,3751;22º;2.343º;0,3204;37º;3.163º;0,0941;38º;3.044º;0,1298
110028;RO;Rolim de Moura;7º;1.085º;0,8822;10º;1.550º;0,6263;8º;1.208º;0,8084;9º;1.446º;0,6616;11º;1.732º;0,6121;15º;1.997º;0,5033
110029;RO;Santa Luzia D'Oeste;39º;2.914º;0,1233;36º;2.763º;0,1732;13º;1.729º;0,5843;24º;2.390º;0,3073;24º;2.751º;0,2314;24º;2.604º;0,2795
110030;RO;Vilhena;9º;1.697º;0,5891;12º;1.653º;0,5808;9º;1.315º;0,7629;10º;1.466º;0,6562;8º;1.445º;0,7313;2º;1.086º;0,9011
110032;RO;São Miguel do Guaporé;13º;2.088º;0,4324;11º;1.577º;0,6126;10º;1.378º;0,7342;7º;1.297º;0,7241;9º;1.495º;0,7123;9º;1.743º;0,6032
110033;RO;Nova Mamoré;32º;2.694º;0,1989;42º;3.148º;0,0516;41º;3.159º;0,0756;37º;3.116º;0,0823;33º;3.058º;0,1283;37º;3.025º;0,1366
110034;RO;Alvorada D'Oeste;24º;2.470º;0,2840;20º;2.056º;0,4238;24º;2.297º;0,3597;20º;2.159º;0,3864;12º;1.796º;0,5906;14º;1.995º;0,5041
110037;RO;Alto Alegre dos Parecis;31º;2.677º;0,2046;39º;2.977º;0,1021;42º;3.176º;0,0685;40º;3.206º;0,0554;41º;3.512º;0,0000;32º;2.865º;0,1896
110040;RO;Alto Paraíso;43º;3.303º;0,0000;43º;3.311º;0,0000;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110045;RO;Buritis;37º;2.884º;0,1323;25º;2.171º;0,3820;20º;2.225º;0,3868;23º;2.348º;0,3194;29º;2.913º;0,1739;27º;2.814º;0,2062
110050;RO;Novo Horizonte do Oeste;34º;2.707º;0,1949;43º;3.311º;0,0000;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110060;RO;Cacaulândia;43º;3.303º;0,0000;14º;1.875º;0,4951;46º;3.416º;0,0000;41º;3.236º;0,0487;41º;3.512º;0,0000;21º;2.468º;0,3249
110070;RO;Campo Novo de Rondônia;10º;1.876º;0,5181;18º;1.981º;0,4531;15º;1.983º;0,4838;17º;1.804º;0,5270;18º;2.489º;0,3328;11º;1.893º;0,5378
110080;RO;Candeias do Jamari;43º;3.303º;0,0000;19º;1.988º;0,4511;39º;2.966º;0,1383;43º;3.334º;0,0256;41º;3.512º;0,0000;nd;nd;nd
110090;RO;Castanheiras;26º;2.488º;0,2788;37º;2.825º;0,1529;30º;2.531º;0,2795;30º;2.481º;0,2724;31º;2.933º;0,1667;35º;2.900º;0,1761
110092;RO;Chupinguaia;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;4º;969º;0,8746;5º;1.053º;0,9230;6º;1.294º;0,7972
110094;RO;Cujubim;25º;2.483º;0,2794;31º;2.444º;0,2873;34º;2.695º;0,2188;44º;3.432º;0,0000;41º;3.512º;0,0000;41º;3.258º;0,0601
110100;RO;Governador Jorge Teixeira;28º;2.538º;0,2600;nd;nd;nd;17º;2.139º;0,4129;26º;2.420º;0,2975;17º;2.340º;0,3836;22º;2.533º;0,3017
110110;RO;Itapuã do Oeste;43º;3.303º;0,0000;13º;1.774º;0,5337;27º;2.423º;0,3135;31º;2.729º;0,1989;34º;3.116º;0,1102;39º;3.127º;0,1042
110120;RO;Ministro Andreazza;43º;3.303º;0,0000;40º;3.010º;0,0930;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110130;RO;Mirante da Serra;29º;2.555º;0,2499;34º;2.564º;0,2400;32º;2.601º;0,2544;44º;3.432º;0,0000;36º;3.126º;0,1070;40º;3.196º;0,0823
110140;RO;Monte Negro;20º;2.367º;0,3248;33º;2.561º;0,2406;33º;2.673º;0,2297;39º;3.152º;0,0713;30º;2.925º;0,1700;30º;2.853º;0,1950
110143;RO;Nova União;40º;2.958º;0,1123;38º;2.873º;0,1386;35º;2.784º;0,1927;36º;3.105º;0,0848;38º;3.205º;0,0840;31º;2.864º;0,1896
110145;RO;Parecis;43º;3.303º;0,0000;43º;3.311º;0,0000;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110146;RO;Pimenteiras do Oeste;35º;2.731º;0,1848;15º;1.911º;0,4821;21º;2.249º;0,3772;11º;1.570º;0,6226;23º;2.679º;0,2576;17º;2.132º;0,4469
110147;RO;Primavera de Rondônia;43º;3.303º;0,0000;43º;3.311º;0,0000;45º;3.353º;0,0169;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110148;RO;São Felipe D'Oeste;22º;2.410º;0,3066;17º;1.959º;0,4618;23º;2.273º;0,3693;28º;2.450º;0,2850;19º;2.500º;0,3279;23º;2.535º;0,3011
110149;RO;São Francisco do Guaporé;11º;1.880º;0,5155;28º;2.299º;0,3391;26º;2.386º;0,3289;19º;2.146º;0,3900;20º;2.513º;0,3235;20º;2.420º;0,3420
110150;RO;Seringueiras;23º;2.438º;0,2971;24º;2.162º;0,3893;14º;1.834º;0,5418;13º;1.643º;0,5976;10º;1.724º;0,6157;10º;1.818º;0,5696
