Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Gastos com Pessoal 2013;IFGF Gastos com Pessoal 2013;Ranking Estadual 2014;Ranking IFGF Gastos com Pessoal 2014;IFGF Gastos com Pessoal 2014;Ranking Estadual 2015;Ranking IFGF Gastos com Pessoal 2015;IFGF Gastos com Pessoal 2015;Ranking Estadual 2016;Ranking IFGF Gastos com Pessoal 2016;IFGF Gastos com Pessoal 2016;Ranking Estadual 2017;Ranking IFGF Gastos com Pessoal 2017;IFGF Gastos com Pessoal 2017;Ranking Estadual 2018;Ranking IFGF Gastos com Pessoal 2018;IFGF Gastos com Pessoal 2018
110001;RO;Alta Floresta D'Oeste;40º;4.207º;0,0437;36º;3.859º;0,1720;41º;4.187º;0,0462;19º;2.730º;0,4557;27º;3.255º;0,2314;32º;2.498º;0,4382
110002;RO;Ariquemes;36º;3.966º;0,1310;31º;3.723º;0,2070;37º;3.707º;0,1810;43º;4.469º;0,0302;42º;4.159º;0,0000;46º;3.847º;0,2077
110003;RO;Cabixi;21º;3.161º;0,3103;15º;2.091º;0,5315;7º;960º;0,7117;15º;2.417º;0,5114;31º;3.625º;0,1685;4º;460º;0,9588
110004;RO;Cacoal;33º;3.883º;0,1542;27º;3.227º;0,3136;24º;3.044º;0,2963;21º;2.783º;0,4440;36º;3.813º;0,1258;45º;3.772º;0,2257
110005;RO;Cerejeiras;17º;2.989º;0,3473;8º;1.470º;0,6757;15º;2.039º;0,4529;9º;1.843º;0,6196;5º;1.590º;0,5104;14º;1.431º;0,6357
110006;RO;Colorado do Oeste;32º;3.619º;0,2145;30º;3.622º;0,2333;32º;3.544º;0,2138;37º;3.841º;0,2468;39º;4.005º;0,0656;26º;2.160º;0,4979
110007;RO;Corumbiara;6º;1.936º;0,5635;12º;1.793º;0,5974;21º;2.663º;0,3553;26º;3.052º;0,3985;15º;2.600º;0,3299;28º;2.313º;0,4710
110008;RO;Costa Marques;41º;4.310º;0,0000;39º;4.015º;0,1245;40º;4.105º;0,0723;44º;4.521º;0,0000;32º;3.652º;0,1637;8º;1.119º;0,7182
110009;RO;Espigão D'Oeste;26º;3.292º;0,2834;2º;548º;0,9989;1º;377º;0,9790;4º;1.151º;0,7661;29º;3.483º;0,1942;18º;1.755º;0,5737
110010;RO;Guajará-Mirim;41º;4.310º;0,0000;45º;4.325º;0,0000;43º;4.310º;0,0000;44º;4.521º;0,0000;42º;4.159º;0,0000;51º;4.517º;0,0000
110011;RO;Jaru;37º;4.147º;0,0665;26º;3.101º;0,3394;30º;3.455º;0,2325;32º;3.573º;0,3096;11º;2.258º;0,3885;10º;1.232º;0,6830
110012;RO;Ji-Paraná;12º;2.631º;0,4230;14º;2.034º;0,5452;9º;1.364º;0,5990;14º;2.302º;0,5350;6º;1.802º;0,4682;21º;1.817º;0,5616
110013;RO;Machadinho D'Oeste;41º;4.310º;0,0000;28º;3.297º;0,3005;43º;4.310º;0,0000;41º;4.083º;0,1857;13º;2.433º;0,3596;38º;2.888º;0,3684
110014;RO;Nova Brasilândia D'Oeste;10º;2.240º;0,5010;22º;2.687º;0,4199;43º;4.310º;0,0000;25º;3.050º;0,3989;18º;2.701º;0,3104;11º;1.255º;0,6759
110015;RO;Ouro Preto do Oeste;41º;4.310º;0,0000;43º;4.253º;0,0360;25º;3.083º;0,2900;39º;3.965º;0,2198;42º;4.159º;0,0000;36º;2.769º;0,3877
110018;RO;Pimenta Bueno;7º;2.039º;0,5444;45º;4.325º;0,0000;33º;3.564º;0,2107;12º;2.035º;0,5849;14º;2.590º;0,3309;44º;3.429º;0,2810
110020;RO;Porto Velho;1º;688º;0,9413;9º;1.571º;0,6521;14º;2.005º;0,4583;11º;2.002º;0,5902;21º;2.822º;0,2909;22º;1.821º;0,5609
110025;RO;Presidente Médici;41º;4.310º;0,0000;32º;3.797º;0,1890;42º;4.268º;0,0171;44º;4.521º;0,0000;38º;3.982º;0,0723;48º;3.973º;0,1817
110026;RO;Rio Crespo;41º;4.310º;0,0000;45º;4.325º;0,0000;43º;4.310º;0,0000;44º;4.521º;0,0000;42º;4.159º;0,0000;13º;1.356º;0,6515
110028;RO;Rolim de Moura;5º;1.933º;0,5640;42º;4.193º;0,0628;38º;3.708º;0,1809;35º;3.724º;0,2787;22º;3.019º;0,2633;37º;2.800º;0,3832
110029;RO;Santa Luzia D'Oeste;11º;2.482º;0,4489;1º;1º;1,0000;13º;1.668º;0,5204;36º;3.773º;0,2649;9º;1.978º;0,4330;49º;4.201º;0,1236
110030;RO;Vilhena;2º;1.026º;0,8129;16º;2.203º;0,5087;3º;714º;0,7950;28º;3.388º;0,3442;19º;2.724º;0,3062;34º;2.704º;0,3998
110032;RO;São Miguel do Guaporé;29º;3.549º;0,2301;13º;1.924º;0,5676;34º;3.639º;0,1971;38º;3.881º;0,2383;28º;3.397º;0,2082;47º;3.864º;0,2050
