Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Investimentos 2013;IFGF Investimentos 2013;Ranking Estadual 2014;Ranking IFGF Investimentos 2014;IFGF Investimentos 2014;Ranking Estadual 2015;Ranking IFGF Investimentos 2015;IFGF Investimentos 2015;Ranking Estadual 2016;Ranking IFGF Investimentos 2016;IFGF Investimentos 2016;Ranking Estadual 2017;Ranking IFGF Investimentos 2017;IFGF Investimentos 2017;Ranking Estadual 2018;Ranking IFGF Investimentos 2018;IFGF Investimentos 2018
110001;RO;Alta Floresta D'Oeste;34º;2.772º;0,4585;32º;3.304º;0,5055;40º;3.485º;0,3332;22º;1.953º;0,5450;1º;1º;1,0000;33º;3.055º;0,3725
110002;RO;Ariquemes;42º;3.923º;0,3004;23º;2.469º;0,6471;22º;1.546º;0,6133;16º;1.603º;0,6140;16º;1.535º;0,4567;8º;1.190º;0,6778
110003;RO;Cabixi;19º;1.906º;0,6131;35º;3.340º;0,4987;9º;642º;0,8888;46º;4.115º;0,2393;44º;4.657º;0,1244;12º;1.460º;0,6203
110004;RO;Cacoal;17º;1.482º;0,6902;1º;1º;1,0000;1º;1º;1,0000;11º;1.169º;0,7238;11º;1.132º;0,5362;32º;3.036º;0,3752
110005;RO;Cerejeiras;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;15º;1.413º;0,4785;3º;883º;0,7679
110006;RO;Colorado do Oeste;30º;2.468º;0,5059;29º;3.098º;0,5407;37º;3.174º;0,3731;44º;4.057º;0,2478;24º;2.246º;0,3527;13º;1.463º;0,6195
110007;RO;Corumbiara;29º;2.392º;0,5186;1º;1º;1,0000;16º;836º;0,8069;37º;3.238º;0,3548;28º;2.796º;0,2891;22º;2.574º;0,4326
110008;RO;Costa Marques;21º;1.979º;0,5980;34º;3.323º;0,5013;24º;1.802º;0,5682;47º;4.533º;0,1798;51º;5.356º;0,0327;18º;2.175º;0,4904
110009;RO;Espigão D'Oeste;39º;3.642º;0,3367;41º;3.758º;0,4295;19º;1.275º;0,6738;18º;1.732º;0,5871;50º;5.152º;0,0683;40º;3.455º;0,3284
110010;RO;Guajará-Mirim;13º;1.051º;0,8102;31º;3.195º;0,5254;52º;5.237º;0,0711;48º;4.547º;0,1775;52º;5.360º;0,0311;47º;4.841º;0,1607
110011;RO;Jaru;45º;4.124º;0,2700;42º;3.809º;0,4227;48º;4.236º;0,2429;38º;3.250º;0,3534;34º;3.145º;0,2568;36º;3.125º;0,3660
110012;RO;Ji-Paraná;20º;1.928º;0,6086;18º;1.708º;0,8065;11º;650º;0,8863;24º;2.015º;0,5328;17º;1.546º;0,4547;27º;2.825º;0,4003
110013;RO;Machadinho D'Oeste;38º;3.556º;0,3490;27º;2.944º;0,5673;46º;4.135º;0,2541;31º;2.401º;0,4705;18º;1.737º;0,4236;28º;2.839º;0,3985
110014;RO;Nova Brasilândia D'Oeste;28º;2.382º;0,5201;49º;5.124º;0,1413;36º;3.163º;0,3738;35º;3.028º;0,3825;20º;2.017º;0,3822;23º;2.659º;0,4220
110015;RO;Ouro Preto do Oeste;46º;4.158º;0,2652;47º;4.553º;0,2944;42º;3.769º;0,2990;34º;2.831º;0,4068;36º;3.383º;0,2319;34º;3.058º;0,3716
110018;RO;Pimenta Bueno;33º;2.750º;0,4616;30º;3.113º;0,5378;15º;811º;0,8163;6º;574º;0,9766;31º;2.894º;0,2804;46º;4.526º;0,2064
110020;RO;Porto Velho;51º;5.183º;0,0814;48º;4.909º;0,2128;38º;3.211º;0,3687;49º;4.565º;0,1748;48º;4.850º;0,1048;42º;3.995º;0,2693
110025;RO;Presidente Médici;4º;587º;0,9900;45º;4.163º;0,3691;32º;2.784º;0,4221;20º;1.809º;0,5731;32º;2.930º;0,2775;31º;3.020º;0,3769
110026;RO;Rio Crespo;31º;2.617º;0,4823;1º;1º;1,0000;21º;1.482º;0,6264;8º;754º;0,8768;9º;998º;0,5649;21º;2.446º;0,4504
110028;RO;Rolim de Moura;48º;4.693º;0,1872;44º;4.147º;0,3712;43º;3.975º;0,2753;39º;3.355º;0,3397;41º;4.139º;0,1673;51º;5.164º;0,1004
110029;RO;Santa Luzia D'Oeste;10º;1.015º;0,8220;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;40º;3.946º;0,1840;14º;1.810º;0,5483
110030;RO;Vilhena;16º;1.392º;0,7110;36º;3.396º;0,4902;45º;4.112º;0,2573;45º;4.105º;0,2414;22º;2.132º;0,3684;26º;2.781º;0,4050
110032;RO;São Miguel do Guaporé;27º;2.306º;0,5355;17º;1.634º;0,8214;14º;741º;0,8480;1º;1º;1,0000;23º;2.178º;0,3624;17º;2.123º;0,4990
110033;RO;Nova Mamoré;37º;3.303º;0,3836;14º;1.395º;0,8823;10º;646º;0,8869;21º;1.906º;0,5537;13º;1.221º;0,5183;30º;2.963º;0,3839
110034;RO;Alvorada D'Oeste;41º;3.884º;0,3056;25º;2.573º;0,6262;35º;3.068º;0,3859;40º;3.425º;0,3310;39º;3.817º;0,1935;10º;1.298º;0,6551
110037;RO;Alto Alegre dos Parecis;9º;886º;0,8637;1º;1º;1,0000;30º;2.635º;0,4429;42º;3.688º;0,2976;29º;2.821º;0,2868;9º;1.219º;0,6699
110040;RO;Alto Paraíso;14º;1.106º;0,7925;22º;2.191º;0,6989;41º;3.554º;0,3254;33º;2.623º;0,4369;30º;2.886º;0,2811;35º;3.060º;0,3715
110045;RO;Buritis;50º;5.169º;0,0851;43º;3.904º;0,4084;50º;4.861º;0,1540;17º;1.640º;0,6085;5º;873º;0,5995;45º;4.480º;0,2140
110050;RO;Novo Horizonte do Oeste;22º;2.017º;0,5910;20º;1.856º;0,7768;25º;1.905º;0,5544;41º;3.533º;0,3153;12º;1.172º;0,5299;41º;3.778º;0,2952
110060;RO;Cacaulândia;1º;1º;1,0000;28º;3.058º;0,5478;1º;1º;1,0000;27º;2.148º;0,5100;4º;744º;0,6382;2º;575º;0,9024
110070;RO;Campo Novo de Rondônia;18º;1.862º;0,6225;21º;1.916º;0,7638;33º;2.829º;0,4170;26º;2.071º;0,5226;37º;3.437º;0,2273;37º;3.250º;0,3509
110080;RO;Candeias do Jamari;44º;4.113º;0,2728;26º;2.871º;0,5791;23º;1.551º;0,6123;51º;4.817º;0,1328;33º;3.125º;0,2580;nd;nd;nd
110090;RO;Castanheiras;5º;623º;0,9701;1º;1º;1,0000;28º;2.358º;0,4827;29º;2.278º;0,4907;49º;5.091º;0,0759;20º;2.282º;0,4757
110092;RO;Chupinguaia;43º;3.968º;0,2937;37º;3.406º;0,4885;39º;3.279º;0,3589;10º;1.044º;0,7643;2º;425º;0,7756;16º;2.109º;0,5007
110094;RO;Cujubim;47º;4.543º;0,2108;38º;3.471º;0,4772;34º;2.854º;0,4139;23º;1.966º;0,5420;25º;2.405º;0,3327;11º;1.340º;0,6482
110100;RO;Governador Jorge Teixeira;36º;3.225º;0,3942;nd;nd;nd;20º;1.321º;0,6631;32º;2.539º;0,4494;19º;1.869º;0,4030;25º;2.712º;0,4146
110110;RO;Itapuã do Oeste;24º;2.092º;0,5744;24º;2.559º;0,6294;18º;1.168º;0,7007;19º;1.762º;0,5812;10º;1.128º;0,5369;38º;3.284º;0,3465
110120;RO;Ministro Andreazza;6º;747º;0,9187;33º;3.305º;0,5053;29º;2.624º;0,4439;36º;3.051º;0,3795;46º;4.788º;0,1111;19º;2.219º;0,4842
110130;RO;Mirante da Serra;32º;2.641º;0,4775;39º;3.476º;0,4761;51º;5.109º;0,1060;52º;5.012º;0,0887;35º;3.321º;0,2379;43º;4.176º;0,2471
110140;RO;Monte Negro;11º;1.022º;0,8208;40º;3.563º;0,4606;26º;1.983º;0,5391;14º;1.472º;0,6415;43º;4.637º;0,1258;44º;4.221º;0,2433
110143;RO;Nova União;35º;3.027º;0,4225;15º;1.508º;0,8524;27º;2.089º;0,5229;7º;644º;0,9300;3º;672º;0,6645;49º;4.891º;0,1533
110145;RO;Parecis;40º;3.702º;0,3274;1º;1º;1,0000;6º;466º;0,9877;28º;2.191º;0,5021;26º;2.469º;0,3257;15º;1.842º;0,5435
110146;RO;Pimenteiras do Oeste;49º;4.832º;0,1639;46º;4.531º;0,2987;8º;604º;0,9075;50º;4.759º;0,1439;27º;2.541º;0,3174;4º;912º;0,7593
110147;RO;Primavera de Rondônia;15º;1.376º;0,7152;12º;1.087º;0,9733;13º;695º;0,8661;43º;3.855º;0,2747;42º;4.426º;0,1435;48º;4.875º;0,1553
110148;RO;São Felipe D'Oeste;25º;2.096º;0,5737;1º;1º;1,0000;1º;1º;1,0000;12º;1.400º;0,6617;47º;4.818º;0,1089;50º;4.970º;0,1436
110149;RO;São Francisco do Guaporé;23º;2.056º;0,5812;1º;1º;1,0000;17º;842º;0,8031;1º;1º;1,0000;6º;894º;0,5948;39º;3.303º;0,3445
110150;RO;Seringueiras;7º;807º;0,8982;1º;1º;1,0000;12º;659º;0,8825;1º;1º;1,0000;38º;3.734º;0,2009;24º;2.704º;0,4159
