Informaчѕes do Municэpio;;;;Evoluчуo do IFDM SAкDE;;;;;;;;;;;;;;;;;;;;;;;
;;;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;
Cѓdigo;Regiуo;UF;Municэpio;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking;Nota;Ranking
110001;Norte;RO;Alta Floresta D'Oeste;0,5004;3.604К;0,5412;3.520К;0,5258;3.967К;0,5134;4.320К;0,5115;4.489К;0,5124;4.592К;0,5571;4.423К;0,5759;4.470К;0,6357;4.152К;0,7130;3.553К;0,7318;3.557К;0,7367;3.674К
110002;Norte;RO;Ariquemes;0,6664;2.215К;0,7008;2.059К;0,7306;1.897К;0,7453;1.884К;0,7783;1.584К;0,8049;1.354К;0,8277;1.181К;0,8373;1.227К;0,8381;1.401К;0,8359;1.573К;0,8390;1.765К;0,8652;1.383К
110003;Norte;RO;Cabixi;0,6313;2.547К;0,5681;3.310К;0,5811;3.520К;0,6048;3.558К;0,6552;3.138К;0,6569;3.262К;0,6134;3.940К;0,6419;3.878К;0,6221;4.278К;0,5963;4.628К;0,6668;4.255К;0,7018;4.067К
110004;Norte;RO;Cacoal;0,5833;2.956К;0,6229;2.876К;0,6642;2.679К;0,6879;2.604К;0,6997;2.605К;0,7147;2.576К;0,7882;1.775К;0,8258;1.405К;0,8265;1.586К;0,8260;1.749К;0,8399;1.741К;0,8788;1.102К
110005;Norte;RO;Cerejeiras;0,4503;3.964К;0,4932;3.898К;0,4636;4.442К;0,4699;4.663К;0,4961;4.614К;0,5722;4.125К;0,5861;4.162К;0,5596;4.597К;0,5671;4.692К;0,5897;4.667К;0,6635;4.282К;0,6751;4.325К
110006;Norte;RO;Colorado do Oeste;0,5964;2.860К;0,5082;3.798К;0,4958;4.192К;0,5044;4.388К;0,6077;3.646К;0,6171;3.704К;0,6416;3.653К;0,6306;3.980К;0,6692;3.806К;0,7044;3.653К;0,7648;3.091К;0,8029;2.638К
110007;Norte;RO;Corumbiara;0,4461;4.000К;0,4287;4.367К;0,4427;4.568К;0,4666;4.683К;0,4421;4.924К;0,5100;4.615К;0,4863;4.901К;0,5734;4.492К;0,6156;4.338К;0,7155;3.517К;0,8100;2.326К;0,8129;2.459К
110008;Norte;RO;Costa Marques;0,4778;3.776К;0,4922;3.905К;0,4872;4.274К;0,5400;4.123К;0,5046;4.544К;0,5721;4.126К;0,6387;3.683К;0,7277;2.868К;0,7055;3.383К;0,6517;4.191К;0,6482;4.428К;0,6586;4.472К
110009;Norte;RO;Espigуo D'Oeste;0,5690;3.065К;0,6348;2.754К;0,6872;2.409К;0,7045;2.403К;0,6822;2.812К;0,6404;3.470К;0,6087;3.984К;0,6119;4.147К;0,5948;4.505К;0,6038;4.577К;0,6330;4.562К;0,6794;4.286К
110010;Norte;RO;Guajarс-Mirim;0,4773;3.781К;0,4098;4.487К;0,4065;4.774К;0,4227;4.913К;0,4556;4.859К;0,4540;4.940К;0,4542;5.060К;0,4709;5.075К;0,5114;4.998К;0,5557;4.864К;0,6074;4.719К;0,6010;4.859К
110011;Norte;RO;Jaru;0,4586;3.907К;0,4528;4.203К;0,4637;4.440К;0,4912;4.496К;0,5288;4.343К;0,5543;4.277К;0,5877;4.150К;0,5929;4.326К;0,6071;4.412К;0,6331;4.346К;0,7082;3.831К;0,7985;2.724К
110012;Norte;RO;Ji-Paranс;0,5603;3.131К;0,6275;2.811К;0,6722;2.593К;0,7130;2.288К;0,7041;2.551К;0,6608;3.218К;0,6413;3.659К;0,6752;3.519К;0,7447;2.839К;0,7811;2.548К;0,8053;2.419К;0,8479;1.733К
110013;Norte;RO;Machadinho D'Oeste;0,3610;4.626К;0,4151;4.453К;0,4673;4.419К;0,4592;4.725К;0,4672;4.795К;0,4742;4.830К;0,5378;4.566К;0,5535;4.635К;0,5450;4.818К;0,5828;4.711К;0,6403;4.510К;0,7049;4.030К
110014;Norte;RO;Nova Brasilтndia D'Oeste;0,4025;4.299К;0,4636;4.124К;0,4936;4.213К;0,5341;4.168К;0,4710;4.764К;0,4654;4.874К;0,4876;4.888К;0,5716;4.512К;0,5997;4.474К;0,6206;4.443К;0,6270;4.594К;0,6681;4.388К
110015;Norte;RO;Ouro Preto do Oeste;0,4293;4.104К;0,4366;4.306К;0,3877;4.876К;0,4299;4.885К;0,4622;4.821К;0,5785;4.068К;0,6001;4.046К;0,6310;3.975К;0,6518;3.998К;0,6982;3.724К;0,7272;3.613К;0,7559;3.429К
110018;Norte;RO;Pimenta Bueno;0,5766;2.999К;0,5439;3.497К;0,5969;3.381К;0,6337;3.265К;0,7244;2.276К;0,6967;2.798К;0,6946;3.056К;0,6699;3.585К;0,7222;3.147К;0,7813;2.543К;0,8402;1.735К;0,8707;1.265К
110020;Norte;RO;Porto Velho;0,6488;2.378К;0,6700;2.409К;0,6763;2.549К;0,6823;2.677К;0,6832;2.797К;0,6931;2.848К;0,7239;2.694К;0,7503;2.565К;0,7729;2.425К;0,7581;2.927К;0,7638;3.115К;0,7653;3.264К
110025;Norte;RO;Presidente Mщdici;0,4178;4.190К;0,4254;4.388К;0,4282;4.660К;0,4066;5.001К;0,4228;5.014К;0,4754;4.821К;0,5232;4.677К;0,5797;4.439К;0,5841;4.584К;0,6302;4.370К;0,6584;4.334К;0,6714;4.354К
110026;Norte;RO;Rio Crespo;0,6438;2.434К;0,7180;1.881К;0,7300;1.913К;0,7824;1.442К;0,7828;1.526К;0,7882;1.576К;0,7847;1.835К;0,7728;2.219К;0,7871;2.223К;0,8548;1.226К;0,8289;1.943К;0,8423;1.845К
110028;Norte;RO;Rolim de Moura;0,4286;4.109К;0,4327;4.334К;0,4685;4.405К;0,4869;4.527К;0,4823;4.704К;0,4773;4.813К;0,5679;4.338К;0,6211;4.063К;0,6770;3.733К;0,6752;3.984К;0,7093;3.820К;0,7270;3.796К
110029;Norte;RO;Santa Luzia D'Oeste;0,5191;3.455К;0,5362;3.565К;0,6352;2.981К;0,6438;3.147К;0,6334;3.387К;0,6170;3.705К;0,6802;3.229К;0,7546;2.501К;0,7638;2.552К;0,7741;2.669К;0,7905;2.640К;0,7953;2.776К
110030;Norte;RO;Vilhena;0,7297;1.618К;0,6531;2.576К;0,5843;3.485К;0,6004;3.607К;0,6937;2.664К;0,7672;1.868К;0,8161;1.336К;0,8029;1.757К;0,8157;1.761К;0,8398;1.498К;0,8791;971К;0,8822;1.040К
110032;Norte;RO;Sуo Miguel do Guaporщ;0,5182;3.462К;0,5630;3.347К;0,6657;2.663К;0,6661;2.864К;0,6895;2.706К;0,7226;2.467К;0,7862;1.809К;0,7864;2.022К;0,7432;2.870К;0,7416;3.159К;0,7374;3.493К;0,7788;3.047К
110033;Norte;RO;Nova Mamorщ;0,3975;4.348К;0,4042;4.515К;0,3861;4.884К;0,3667;5.185К;0,3710;5.233К;0,3928;5.225К;0,4648;5.009К;0,4789;5.042К;0,5333;4.883К;0,5621;4.821К;0,5849;4.849К;0,6106;4.812К
110034;Norte;RO;Alvorada D'Oeste;0,3740;4.523К;0,3182;5.063К;0,3851;4.892К;0,4492;4.779К;0,5483;4.190К;0,5300;4.457К;0,5836;4.185К;0,6196;4.082К;0,6802;3.697К;0,6977;3.736К;0,7350;3.516К;0,7953;2.775К
110037;Norte;RO;Alto Alegre dos Parecis;0,5137;3.492К;0,5819;3.202К;0,6338;3.002К;0,6153;3.459К;0,5840;3.857К;0,5758;4.091К;0,5474;4.489К;0,5111;4.889К;0,5888;4.549К;0,6185;4.459К;0,6732;4.199К;0,6841;4.243К
110040;Norte;RO;Alto Paraэso;0,6438;2.433К;0,6914;2.159К;0,7494;1.670К;0,7130;2.287К;0,7036;2.557К;0,7335;2.307К;0,7370;2.527К;0,7101;3.118К;0,7087;3.337К;0,7033;3.669К;0,6703;4.222К;0,6246;4.733К
110045;Norte;RO;Buritis;0,6807;2.082К;0,6939;2.131К;0,6964;2.308К;0,7314;2.056К;0,7729;1.660К;0,8101;1.283К;0,8240;1.234К;0,8521;1.018К;0,8491;1.212К;0,8121;2.014К;0,8072;2.381К;0,8055;2.594К
110050;Norte;RO;Novo Horizonte do Oeste;0,4399;4.043К;0,4873;3.947К;0,4688;4.400К;0,4273;4.895К;0,4531;4.870К;0,4719;4.845К;0,5133;4.737К;0,5757;4.472К;0,6521;3.993К;0,6979;3.730К;0,6716;4.215К;0,6826;4.260К
110060;Norte;RO;Cacaulтndia;0,5177;3.465К;0,5406;3.528К;0,4772;4.353К;0,4519;4.768К;0,4682;4.785К;0,4987;4.690К;0,5332;4.596К;0,5089;4.902К;0,5034;5.025К;0,5469;4.913К;0,6623;4.300К;0,7675;3.230К
110070;Norte;RO;Campo Novo de Rondєnia;0,4307;4.095К;0,4164;4.443К;0,4506;4.527К;0,4724;4.644К;0,5257;4.365К;0,5258;4.478К;0,5737;4.273К;0,5936;4.320К;0,6435;4.092К;0,6852;3.878К;0,7148;3.756К;0,7328;3.729К
110080;Norte;RO;Candeias do Jamari;0,6898;2.003К;0,5142;3.755К;0,4928;4.223К;0,5187;4.275К;0,6380;3.338К;0,6337;3.530К;0,6275;3.807К;0,6709;3.575К;0,7100;3.315К;0,6912;3.815К;0,6733;4.198К;0,6999;4.080К
110090;Norte;RO;Castanheiras;0,3290;4.851К;0,3849;4.650К;0,4182;4.722К;0,3753;5.149К;0,3935;5.159К;0,4397;5.004К;0,5851;4.170К;0,6534;3.776К;0,5573;4.741К;0,5266;5.013К;0,5004;5.220К;0,6748;4.329К
110092;Norte;RO;Chupinguaia;0,7033;1.871К;0,6154;2.933К;0,6059;3.289К;0,6090;3.525К;0,6052;3.671К;0,7036;2.718К;0,7372;2.522К;0,8077;1.679К;0,7553;2.682К;0,7808;2.558К;0,7974;2.542К;0,7945;2.792К
110094;Norte;RO;Cujubim;0,5677;3.076К;0,6143;2.939К;0,5939;3.406К;0,5561;3.991К;0,5466;4.204К;0,5592;4.241К;0,4517;5.069К;0,4651;5.107К;0,5267;4.912К;0,6232;4.422К;0,6387;4.526К;0,6699;4.372К
110100;Norte;RO;Governador Jorge Teixeira;0,4404;4.040К;0,4105;4.485К;0,4281;4.661К;0,4866;4.532К;0,5425;4.240К;0,5426;4.363К;0,4900;4.874К;0,4439;5.196К;0,4386;5.280К;0,5364;4.967К;0,6761;4.167К;0,7663;3.247К
110110;Norte;RO;Itapuу do Oeste;0,7149;1.759К;0,7366;1.709К;0,6795;2.514К;0,6849;2.646К;0,6633;3.036К;0,7644;1.912К;0,7286;2.631К;0,7207;2.966К;0,7152;3.241К;0,6923;3.800К;0,7131;3.779К;0,7283;3.784К
110120;Norte;RO;Ministro Andreazza;0,4376;4.053К;0,4878;3.942К;0,6142;3.201К;0,6534;3.034К;0,6877;2.731К;0,6745;3.062К;0,6963;3.039К;0,6253;4.031К;0,6276;4.235К;0,7024;3.683К;0,7755;2.898К;0,8105;2.504К
110130;Norte;RO;Mirante da Serra;0,4292;4.105К;0,4130;4.469К;0,2883;5.312К;0,3306;5.295К;0,3965;5.135К;0,6007;3.866К;0,5752;4.256К;0,5692;4.537К;0,6214;4.289К;0,7152;3.523К;0,7640;3.110К;0,7528;3.460К
110140;Norte;RO;Monte Negro;0,4824;3.733К;0,4844;3.975К;0,5021;4.136К;0,5352;4.157К;0,5085;4.514К;0,5215;4.513К;0,5783;4.224К;0,6756;3.514К;0,7026;3.425К;0,7165;3.495К;0,7506;3.303К;0,7753;3.108К
110143;Norte;RO;Nova Uniуo;0,6801;2.086К;0,6261;2.822К;0,6525;2.807К;0,6706;2.817К;0,7271;2.242К;0,7931;1.506К;0,8020;1.562К;0,8044;1.734К;0,6507;4.015К;0,6768;3.973К;0,6494;4.415К;0,7089;3.993К
110145;Norte;RO;Parecis;0,3022;5.027К;0,4531;4.201К;0,4734;4.376К;0,5488;4.061К;0,5987;3.728К;0,5443;4.355К;0,4915;4.864К;0,4939;4.978К;0,5701;4.673К;0,6199;4.455К;0,7727;2.957К;0,8343;2.020К
