"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente (Pessoas)"
"Nível";"Cód.";"Município";"Situação do domicílio";"Ano x Sexo"
"Nível";"Cód.";"Município";"Situação do domicílio";"1970"
"Nível";"Cód.";"Município";"Situação do domicílio";"Total";"Homens";"Mulheres"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100023";"Ariquemes (RO)";"Total";"...";"...";"..."
"MU";"1100023";"Ariquemes (RO)";"Urbana";"...";"...";"..."
"MU";"1100023";"Ariquemes (RO)";"Rural";"...";"...";"..."
"MU";"1100031";"Cabixi (RO)";"Total";"...";"...";"..."
"MU";"1100031";"Cabixi (RO)";"Urbana";"...";"...";"..."
"MU";"1100031";"Cabixi (RO)";"Rural";"...";"...";"..."
"MU";"1100049";"Cacoal (RO)";"Total";"...";"...";"..."
"MU";"1100049";"Cacoal (RO)";"Urbana";"...";"...";"..."
"MU";"1100049";"Cacoal (RO)";"Rural";"...";"...";"..."
"MU";"1100056";"Cerejeiras (RO)";"Total";"...";"...";"..."
"MU";"1100056";"Cerejeiras (RO)";"Urbana";"...";"...";"..."
"MU";"1100056";"Cerejeiras (RO)";"Rural";"...";"...";"..."
"MU";"1100064";"Colorado do Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100064";"Colorado do Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100064";"Colorado do Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100072";"Corumbiara (RO)";"Total";"...";"...";"..."
"MU";"1100072";"Corumbiara (RO)";"Urbana";"...";"...";"..."
"MU";"1100072";"Corumbiara (RO)";"Rural";"...";"...";"..."
"MU";"1100080";"Costa Marques (RO)";"Total";"...";"...";"..."
"MU";"1100080";"Costa Marques (RO)";"Urbana";"...";"...";"..."
"MU";"1100080";"Costa Marques (RO)";"Rural";"...";"...";"..."
"MU";"1100098";"Espigão D'Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100098";"Espigão D'Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100098";"Espigão D'Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100106";"Guajará-Mirim (RO)";"Total";"27016";"14225";"12791"
"MU";"1100106";"Guajará-Mirim (RO)";"Urbana";"11719";"5841";"5878"
"MU";"1100106";"Guajará-Mirim (RO)";"Rural";"15297";"8384";"6913"
"MU";"1100114";"Jaru (RO)";"Total";"...";"...";"..."
"MU";"1100114";"Jaru (RO)";"Urbana";"...";"...";"..."
"MU";"1100114";"Jaru (RO)";"Rural";"...";"...";"..."
"MU";"1100122";"Ji-Paraná (RO)";"Total";"...";"...";"..."
"MU";"1100122";"Ji-Paraná (RO)";"Urbana";"...";"...";"..."
"MU";"1100122";"Ji-Paraná (RO)";"Rural";"...";"...";"..."
"MU";"1100130";"Machadinho D'Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100130";"Machadinho D'Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100130";"Machadinho D'Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100189";"Pimenta Bueno (RO)";"Total";"...";"...";"..."
"MU";"1100189";"Pimenta Bueno (RO)";"Urbana";"...";"...";"..."
"MU";"1100189";"Pimenta Bueno (RO)";"Rural";"...";"...";"..."
"MU";"1100205";"Porto Velho (RO)";"Total";"84048";"44745";"39303"
"MU";"1100205";"Porto Velho (RO)";"Urbana";"47888";"24067";"23821"
"MU";"1100205";"Porto Velho (RO)";"Rural";"36160";"20678";"15482"
"MU";"1100254";"Presidente Médici (RO)";"Total";"...";"...";"..."
"MU";"1100254";"Presidente Médici (RO)";"Urbana";"...";"...";"..."
"MU";"1100254";"Presidente Médici (RO)";"Rural";"...";"...";"..."
"MU";"1100262";"Rio Crespo (RO)";"Total";"...";"...";"..."
"MU";"1100262";"Rio Crespo (RO)";"Urbana";"...";"...";"..."
"MU";"1100262";"Rio Crespo (RO)";"Rural";"...";"...";"..."
"MU";"1100288";"Rolim de Moura (RO)";"Total";"...";"...";"..."
"MU";"1100288";"Rolim de Moura (RO)";"Urbana";"...";"...";"..."
"MU";"1100288";"Rolim de Moura (RO)";"Rural";"...";"...";"..."
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100304";"Vilhena (RO)";"Total";"...";"...";"..."
"MU";"1100304";"Vilhena (RO)";"Urbana";"...";"...";"..."
"MU";"1100304";"Vilhena (RO)";"Rural";"...";"...";"..."
"MU";"1100320";"São Miguel do Guaporé (RO)";"Total";"...";"...";"..."
"MU";"1100320";"São Miguel do Guaporé (RO)";"Urbana";"...";"...";"..."
"MU";"1100320";"São Miguel do Guaporé (RO)";"Rural";"...";"...";"..."
"MU";"1100338";"Nova Mamoré (RO)";"Total";"...";"...";"..."
"MU";"1100338";"Nova Mamoré (RO)";"Urbana";"...";"...";"..."
"MU";"1100338";"Nova Mamoré (RO)";"Rural";"...";"...";"..."
"MU";"1100346";"Alvorada D'Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100346";"Alvorada D'Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100346";"Alvorada D'Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"Total";"...";"...";"..."
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"Urbana";"...";"...";"..."
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"Rural";"...";"...";"..."
"MU";"1100403";"Alto Paraíso (RO)";"Total";"...";"...";"..."
"MU";"1100403";"Alto Paraíso (RO)";"Urbana";"...";"...";"..."
"MU";"1100403";"Alto Paraíso (RO)";"Rural";"...";"...";"..."
"MU";"1100452";"Buritis (RO)";"Total";"...";"...";"..."
"MU";"1100452";"Buritis (RO)";"Urbana";"...";"...";"..."
"MU";"1100452";"Buritis (RO)";"Rural";"...";"...";"..."
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"Total";"...";"...";"..."
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1100601";"Cacaulândia (RO)";"Total";"...";"...";"..."
"MU";"1100601";"Cacaulândia (RO)";"Urbana";"...";"...";"..."
"MU";"1100601";"Cacaulândia (RO)";"Rural";"...";"...";"..."
"MU";"1100700";"Campo Novo de Rondônia (RO)";"Total";"...";"...";"..."
"MU";"1100700";"Campo Novo de Rondônia (RO)";"Urbana";"...";"...";"..."
"MU";"1100700";"Campo Novo de Rondônia (RO)";"Rural";"...";"...";"..."
"MU";"1100809";"Candeias do Jamari (RO)";"Total";"...";"...";"..."
"MU";"1100809";"Candeias do Jamari (RO)";"Urbana";"...";"...";"..."
"MU";"1100809";"Candeias do Jamari (RO)";"Rural";"...";"...";"..."
"MU";"1100908";"Castanheiras (RO)";"Total";"...";"...";"..."
"MU";"1100908";"Castanheiras (RO)";"Urbana";"...";"...";"..."
"MU";"1100908";"Castanheiras (RO)";"Rural";"...";"...";"..."
"MU";"1100924";"Chupinguaia (RO)";"Total";"...";"...";"..."
"MU";"1100924";"Chupinguaia (RO)";"Urbana";"...";"...";"..."
"MU";"1100924";"Chupinguaia (RO)";"Rural";"...";"...";"..."
"MU";"1100940";"Cujubim (RO)";"Total";"...";"...";"..."
"MU";"1100940";"Cujubim (RO)";"Urbana";"...";"...";"..."
"MU";"1100940";"Cujubim (RO)";"Rural";"...";"...";"..."
"MU";"1101005";"Governador Jorge Teixeira (RO)";"Total";"...";"...";"..."
"MU";"1101005";"Governador Jorge Teixeira (RO)";"Urbana";"...";"...";"..."
"MU";"1101005";"Governador Jorge Teixeira (RO)";"Rural";"...";"...";"..."
"MU";"1101104";"Itapuã do Oeste (RO)";"Total";"...";"...";"..."
"MU";"1101104";"Itapuã do Oeste (RO)";"Urbana";"...";"...";"..."
"MU";"1101104";"Itapuã do Oeste (RO)";"Rural";"...";"...";"..."
"MU";"1101203";"Ministro Andreazza (RO)";"Total";"...";"...";"..."
"MU";"1101203";"Ministro Andreazza (RO)";"Urbana";"...";"...";"..."
"MU";"1101203";"Ministro Andreazza (RO)";"Rural";"...";"...";"..."
"MU";"1101302";"Mirante da Serra (RO)";"Total";"...";"...";"..."
"MU";"1101302";"Mirante da Serra (RO)";"Urbana";"...";"...";"..."
"MU";"1101302";"Mirante da Serra (RO)";"Rural";"...";"...";"..."
"MU";"1101401";"Monte Negro (RO)";"Total";"...";"...";"..."
"MU";"1101401";"Monte Negro (RO)";"Urbana";"...";"...";"..."
"MU";"1101401";"Monte Negro (RO)";"Rural";"...";"...";"..."
"MU";"1101435";"Nova União (RO)";"Total";"...";"...";"..."
"MU";"1101435";"Nova União (RO)";"Urbana";"...";"...";"..."
"MU";"1101435";"Nova União (RO)";"Rural";"...";"...";"..."
"MU";"1101450";"Parecis (RO)";"Total";"...";"...";"..."
"MU";"1101450";"Parecis (RO)";"Urbana";"...";"...";"..."
"MU";"1101450";"Parecis (RO)";"Rural";"...";"...";"..."
"MU";"1101468";"Pimenteiras do Oeste (RO)";"Total";"...";"...";"..."
